restaurant,content,date,useful
"Burger King","I. Don't. Know. Why. This. Burger King. Store. Has Drama. But. It. Does. Well perhaps part of the problem seems to be lack of how to properly handle basic guest relations.  An experienced restaurant manager would of contacted me to explain the situation. One simple conversation not had,  created bigger problems. When companies hire cheaper, unqualified staff to save revenue, unfortunately, sadly, they lack basic hospatility, aka CUSTOMER SERVICE and professionalism. You pay low wages, you will get low skills. 

Broiler broke down and they kept me waiting 20 minutes for a simple chicken salad. With attitude to boot. Not another person in line. 

Because as I tried to explain to the manager and her crew, it's not the broiler breaking down that made my experience horrible. Yeah, it sucks waiting 20 minutes for a 2 minute salad. But seriously. Had she just came outside where I was waiting to apologize for the long wait and offer a coupon or free dessert. Boom. It would of changed the entire dynamic. INSTANTLY!!! Because, it's not what happens, but rather how things are handled in the recovery of things going sideways.

And you can try to teach people they need to be customer service orientated.  But if they don't care, feel under appreciated by their employer, or struggle financially from low wages and high stress work. Boom. Associates will never take or make the time to do the right, basic steps. My personal intuition tells me there are alot of internal problems with this store and company. It is need of a major overhaul. 

Stay away if you expect cooked food, service, or value. Just saying.","5/17/2018",12
"Burger King","FOOD POISONING on June 26, 2018!! 

Severe vomiting within 20 minutes of leaving here. Had a fever that evening into the next day. Never could reach management by phone at the store, so I notified the corporate office and the Dallas Health Inspector. Within a week, the city  investigation noted several violations. 

I know it's not fine dining or a healthy food choice...but I also don't expect to become severely ill minutes after eating a burger from a well known fast food chain. 

Stay away!!!","8/30/2018",2
"Burger King","Food is fresh, service is fast and polite. They messed up the order, but it got corrected right away.","8/4/2016",3
"Burger King","HORRIBLE! Waited 20 mins for freaky bacon cheese tators. The girls working the drive thru and the front counter were trying but whoever was back in the kitchen was too playful and didn't give a damn. Several customers waited for extended period of time. Somebody back in that kitchen needs to go!","5/7/2019",0
"Burger King","My food was delicious. The employee who took my order was patient when I changed my mind, my fries were hot and perfectly seasoned. By Whopper was made to order. Y'all even had my fave Seagrams raspberry ginger ale! Thank you!","6/21/2020",0
"Burger King","Worst Burger King experience ever. Showed up at 10:40pm CST to make an order at the drive thru. Noticed rocks in the drive thru lane...thought it was a joke so I removed them. Proceeded to drive through to make an order when the lady on the mic stated they were closed. I asked what time they close and she told me 11pm CST. I asked how it was that they were closed at 10:40pm when 20 minutes still reminded. She stated they had stuff to clean and that's why they closed early. I don't understand the reason for Open and Close times if this is the case. She even went so far as to state that they placed the rocks in the drive thru to stop people from coming to order. From a service, business and customer service standpoint I have never been more disappointed.","7/19/2018",1
"Burger King","Service is soooooo slow. Waited 30 minutes for a simple meal. Appeared to be fully staff, but poorly trained.","7/3/2019",0
"Burger King","So here I am at a Burger King.  I've had nothing but bad food the pst few times but...I had to go the the restroom...bad!  Lol. What does that have to do with anything?  Well, this one is by the airport and the sign said for customers only.  For lack of better judgement, I ordered a whopper jr and a drink.  Waited and waited...no burger.  Finally went up front to ask and the counter guy said he didn't save my ticket number which I had been listening for but had called out for a whopper.  My bad, didn't hear him.  The manager immediately came up to the counter and said she had seen me sitting there the whole time...what did I order?  I told her a whopper jr and she told me to give her a minute and she would take cate of me.  Boy did she!  Fresh hot whopper like I had back in the day when Burger King rocked!  YUM!  She even added a large fries and asked if I wanted dessert.  I thanked her and said I appreciated her service.  WOW!  Impressive!","12/28/2019",0
"Burger King","I came in only for the 2 for $6! No where to park because of Chick-fil-A that was just built across the lot and across from the airport. While I was in line to get my order this guy from the street comes rollin' in and looked like he hasn't washed in days. He takes out of his bag a dirty Quik Trip cup and starts rinsing at the coke machine while the rim of the cup keeps rubbing up against where the ice and all drink flavors disperses from the machine. Mind you the cup was not and is not made for it so he forced his cup to get whatever he wanted. I told the lady who took my order and she said oh no, but looked shook her head and didn't do anything about it. I told her I'm not getting my drink from that machine when Mr. Funk Nasty is using a dirty cup from his dirty bag and the street. Unsanitary! Got my coke from behind the counter. These bums come in and just funky up the place and come into these eating establishments with their funk filth. Will not be returning.","8/9/2018",0
"Burger King","I mean it's fast food, what do you expect. Employees treat you like you made them get a job there. Very short with you, no smiles, no respect. My order cam out right but had obviously been sitting there awhile. Larger black lady in drive through basically threw my bag of food at me and said here you go. I said Thank you very much with a smile she wouldn't look me in the eye and then slammed the window shut. You applied there people not us, if you don't want to work there then quit.","4/21/2018",0
"Burger King","Good food.  Horrible service.  Unfriendly and rude staff.  Going to complain and hopefully the staff learns how to treat people with respect.  If you wanna get an ugly stare and mad look. This place is for you.","5/2/2018",0
"Burger King","The drive thru is six cars deep and the line in the dining room is six couples standing on line at the counter and Burger King has two associates on duty. One working the front counter & drive thru and a cook. This is unbelievable. I am surprised that the owners of this Burger King do not care anymore about it then the only have two Associates on duty and I'm sure they are paying them a minimum wage. I will not be back.","5/13/2017",0
"Burger King","Okay here.","8/1/2017",0
"Burger King","They're stupid here always double check your bag they always forget something never coming back the people are rude too","11/17/2018",1
"Burger King","Bad service, don't answer the phone, close the doors early. Don't waste your time coming here, go to Chick-fil-A next door","7/1/2019",0
"Burger King","This place is shit! I waited 45 minutes for some burgers!!!!! And the cashier is so fucking rude!!!!","10/1/2017",0
"Burger King","I come to this one everytime I can and I always leave happy food on point but I can never get anything on Saturday night hmm their system is always down or they are closed seriously every Saturday night","10/11/2016",0
"Burger King","DO NOT go to this Burger King. I have never been treated as rudely at a restaurant as I was treated here. I really needed to use the bathroom at 9:30 the other night, so I stopped at the closest restaurant. I was going to buy something to pay for my use of their facilities, but using the bathroom was my first priority. After stepping one foot in the building, an employee who was mopping the floor looked at me and barked, The restroom is closed. I explained that I REALLY needed to use it, and he said, Well I REALLY need to clean it, and proceeded to give me mouth about paying customers and other nonsense (especially since I was going to buy something). So I took my business to another restaurant who would let me use their facilities. When I went back to explain to the manager why I was never going to come here again, I stepped one foot in the door and the same employee yelled, This guy again! Somebody take care of him! and stormed out of the building. Completely ridiculous! I will never support a business that has such little regard for its customers.","1/15/2020",0
"Burger King","I came here just because Seattle'a Best coffee. Yeah I know, I'm coming to a fast food joint to get a coffee. 

After waiting 5-10 minutes I got an iced coffee.

But hold the phone!!!! I didn't order an iced coffee. I ordered a large mocha frap. And got a small iced coffee after waiting that long.

CAN I GET SOME COFFEE WITH MY ICE???????

Get your crap together. Your job isn't difficult.","9/7/2013",0
"Burger King","Fast, friendly, courteous service with good quality food! Bathroom were clean and so was the dining area. Jimmy was amazing at taking our order will come back for sure. Thank you Jimmy for smiling and being so great!!","8/21/2018",0
"Burger King","please    dp   not    eat    here     especially if    you    value  your   life  i      went    to     this      location      last      week  and      viewed  one      of    the     employees  scratching      themselves  vigorously      while      serving     food  i     could     imagine  what     the   bacteria      under  that      persons     nails     could    do    to    all    those      nice      burgers  i     called     the      health      department","7/19/2017",0
"Burger King","Drove thru to pick up a late dinner around 10. Had the worst burger and even hardest french fries. Seems like they were sitting around for few hours.","1/23/2017",0
"Burger King","In a town with over-hyped barbecue and over-priced burgers, I found sanctuary at this little Burger King. Man it was so good. Not the greatest neighborhood but man what a quick and friendly staff. I ordered 2 cheeseburgers and got three! Bonus plan!","12/4/2012",1
"Burger King","ZERO STARS.   On my way to Love Field, I made a stop here to get a milkshake.   I went into the drive thru and waited for someone to greet me and take my order.  So I waited about a minute - still no one.  So i drove around to the window and there was no one in the window, but I could clearly see a young African American lady working behind the counter in the main part of the store.   It appeared that she was with a customer.      And she looked over at me...  Without question - she knew i was there.  

Then there was a young Mexican lady who came over to the window not to greet me, but to do something near the soda fountain.  She looked right at me and then walked off!

i'm just sitting there in my car waiting.  For a second i thought the young Afrrican American lady was coming to help because she walked towards my direction and again looked at me and again completely ignored me.   Either one of these ladies could have at least said she would be with me in a minute Or the drive thru was closed Or SOMETHING. 

I drove off.   This was rather frustrating to say the least.   

Thank you Yelp for giving me the opportunity to warn others.  

*****  PLEASE SPEND YOUR MONEY SOMEWHERE ELSE!","7/6/2012",1
"Burger King","I stopped in for the premotional Angry Whopper with sweet potato curly fries... call me crazy.. but it was pretty darn good. They were fairly quick, and the food hit the spot. I usually avoid all fast food.. and Burger King has no special place in my heart.. but this was actually surprising enough I figured I'd say 'thanks' via this review.","11/30/2012",0
"Burger King","Zipped by to pick up a late night burger snack and no line at the drive through.  I was in a hurry and decided on the standard Number 1 with Cheese no onions.  I pulled up to the window where I was informed they were out of Coke. (How does a large world wide chain run out of the leading soft drink??? I'm a supply chain type and that boggles my burger fed brain.) I picked something and they had me on my way quickly.

A couple of miles later, I'm opening the bag to pull out the order to find undercooked fries and a well wrapped burger.  Once into the wrapping, I find a cold bun with a nearly warm patty.  Had it been a longer drive, I could have understood the heat loss through heat conduction. But with the exceptional wrapping work done by the staff, which removes heat loss by convection, hmmm...    I guess I'll chalk this one as I shouldn't order late at night when there isn't a rush of other customers to make sure the BK processes are followed.

I'll be back as there are just those moments I have a desire for a BK burger.","7/27/2017",10
"Burger King","I ordered a Whopper meal, no onions, no ketchup, with a sprite. Two out of the three tomatoes were old and so was the lettuce. It was awful. This is my favorite fast food meal and I'm absolutely disgusted. The burger also didn't have any mayonnaise so it was completely dry. So grossed out and disappointed.","8/6/2022",0
"Burger King","Service was poor. I forget to order a drink with my sandwich and  when I got to window and pick up food, I say like to order a drink as I forgot to do so. The woman rudely said I need to get back in line, other words drive around reorder the drink. At that moment I look in the rear view mirror and there was only  1 car behind me and no other cars in line. She stated it was there policy not to accept order at this window.  To give me a drink take what 2 minutes.  Probably last time I go here as she had an altitude. If she didn't already have my credit card for payment, I would've  left that $7 dollar sandwich at the window. This poor service was over a $1.70 drink.","12/9/2022",0
"Burger King","I ordered the veggie burger meal. It was super cold in the middle of the patty and the patty was generally cold all around the rim. If I wasn't in a rush I would have gone back to get my money back. 10/10 do NOT recommend this location.","12/13/2021",0
"Burger King","At 10 PM they got my order wrong and charged me the wrong amount for the other order. I wish I could have transcribed the preposterous conversation I had with the window worker. They charged me for the wrong order and then said it's okay it's basically the same price as the car behind you. (I ordered a spicy ch'king and two rodeo burgers) she said there were McNuggets in there because they ran out of the other chicken. Then her coworker said they ran out of all chicken. She said it already charged the card and asked if I wanted a refund. Just a cluster, maybe I should stick to the day crew after reading the rest of these comments.","6/23/2022",0
"Burger King","There's homeless people in here harassing me for my food and money while I'm trying to eat.","2/15/2022",0
"Burger King","0 stars is more suitable. They will get your order wrong every time. Avoid this location","3/18/2022",0
"Burger King","I came here Wednesday night on 02/09/2022 to pick up a food order I ordered on their APP. This was around 10:10pm the App told me I had until Midnight to pick it up before store closed. The lights were off when I got there but a car was in front of me in the drive-thru so I assumed only the drive-thru was opened sat there for about 15 minutes and a young lady comes out and says they are closed, when I told her that I had already paid for my food, she stated sorry its nothing she could do because they were closed. She then proceeded to get in her car and drive off. I will never order from a Burger King App or visit this location. This is second Burger King location that has just closed while I was in the drive thru. It must be a corporate policy not to have to follow listed business hours.","2/11/2022",0
"Burger King","Says they're open until midnight. Lights are on but nobody home. Look Burger King if you're going to state hours until midnight and offer delivery, but close early and leave your lights on to trick people your open, what's the point of even posting hours or having a restaurant? I saw three cars come in behind me, all tricked. 
I drove several miles to get here ya know! Its not like I live next door and can see you closed early. Your decisions are wasting people's time and fuel. And why keep your sign and menu lights on? now your wasting electricity too! if your sign would've been off I would've known you were closed and not entered to begin with. instead i'm like hello...hello?
Canes isn't complaining they're getting all the BK business. waffle house too.","7/20/2020",1
"Burger King","This Burger King on Ross Avenue is amazing! Excellent service, especially by the manager Jose; the restaurant is very clean and tidy! Had an incredible Impossible whopper and just want to say this is the best BK I've ever been to!","8/14/2019",0
"Burger King","I can't believe they still open! Fast food really ain't terribly difficult. You place your order pay for and get your the food you ordered. That's the expectation. This burger king can't do THIS. Its always something. Today they got ppl inside with the doors locked. So it's closed with the exception of the 2 families inside eating their dinner at 830 on a Saturday night. It's just silliness.","3/14/2020",2
"Burger King","All signs says close at midnight. Its 1052 PM lady says we r closed for the night. Never going back here.","5/21/2019",2
"Burger King","hmmm I gather its 1030 at night but an employee sitting on counter by food not cool ! BK burgers aren't what they used to be anyway","2/29/2020",2
"Burger King","Just pulled up at 6:30am, no ones home. Lights on. Lady inside but no answer at drive thru or the window. I honked to get her attention...not even a flinch. They need to update their hours.","8/27/2020",0
"Burger King","I tried to contact manager 2x with not response. Bought 2 orders of nuggets on Sunday and when I got 1/2 thru the first bag I went to dip the piece again I had just bitten and saw something sticking out of it. It was a feather! I took a picture of it to show them. Threw all the nuggets away and I don't think I trust burger king anymore. The address is 5119 Ross Ave, Dallas, TX. Left a message on facebook page so maybe someone will acknowledge what happened. Had to leave a 1 star but didn't want to leave anything","1/14/2019",2
"Burger King","Went to the drive thru around 930pm and they said they were closed due to no night crew. Wtf    Trash establishment","1/5/2019",2
"Burger King","Tried them twice - WORSE EVER at EVERYTHING - should NOT be in business - look at their health code rating before going there - ewwwwww!!!!","5/18/2019",0
"Burger King","Trash workers and a poorly managed place don't waste your time. Horrible service and they curse super loud and play too much. Needs to be shut down pronto.","5/8/2019",0
"Burger King","Although I've come here several times after work, 10:30-ish, I've actually only only gotten food once. The other times, I was told at the drive thru that it's shift change and they couldn't help me. Tonight, the cook's not here yet. It occurs to me that the night shift here is trying to sabotage the business. Man, just close if you can't find decent night workers.","1/13/2018",2
"Burger King","Went there for a couple of breakfast sandwiches it took over 10 minutes, I finally just got a refund and left!!! 

Plenty of people working but not making any food, pitiful.","11/4/2017",2
"Burger King","Just had the worst burger of my life. And the fries were just terrible. The coke was too sweet. After I finished eating the entire meal, which was awful, I demanded a refund! The manager refused to refund my money since I finished the food. That is outrageous.","12/8/2017",1
"Burger King","Usually a great place to eat.  But went tonight at 8:30 and all lights were on and people sitting inside and eating. Doors locked and people who worked there drawing a slashing movement across their neck at me when I tried to come in.   What gives?","12/18/2016",3
"Burger King","actually very clean, and workers are very friendly. it was built this year and so far it has been kept satisfied for me and my family; i really like their chicken fries and I like how my fries are always on point.","6/10/2016",0
"Burger King","I typically avoid Burger King, this location in particular I've never had good luck at. Today I was vulnerable and lucky me it was the best experience I've ever had at a Burger King ever. We were greeted by a friendly guy on the loud speaker in the drive thru who was patient and accommodating while I ordered.. and then changed my order. He just rolled with it. I came to the window and to my surprise the dedication of this guy. He even had a crown tattooed on his neck! Obviously he has pledged his allegiance to Burger King with this symbol. Super friendly and chatting us up while they finished our order. We ordered the two whopper deal, with fries and drinks and it was perfect. One with no onions, the other with no pickles, hot and fresh fries, and a side of charm I never expected. I couldn't have asked for a better experience at Burger King. Thank you!!","9/12/2021",0
"Burger King","Horrible food fried where stale and the bread had mold growing. But looks like they attempted to remove it and still serve the bread","7/17/2022",0
"Burger King","There are times I crave the taste of Burger King Hamburgers. This is the closest BK to me.  When it first opened, it was pretty good for production line fast food. Since then, not so much.

This trip, still not so much. 

I was craving the standard Whopper with cheese and no onion and saw none were in the drive thru so up to the order spot I drove!  Simple order, Whopper, no onion with cheese and a small coke.  I pulled around. I paid.  I waited a few and burger was handed out.  I had to remind the window worker about the drink.  Since she forgot, she upgraded me to a medium. Off I drove.

The burger I received was a double meat, no cheese WITH onion.  It also had no lettuce, no pickles, no tomato and was dry.  Had I not already been at the house, I would have gone back. 
 
No wonder there was no one in line. I should have checked it before I pulled away. It was showing a 1.5 star rating.","4/24/2019",25
"Burger King","WTF is wrong with you one star givers?
This place is great- was running late for a flight and had to blast through the drive through- picked up a Whopper, soft serve and two BK crowns for the airplane- all Bussin..","5/24/2021",0
"Burger King","Wow - the worst customer service I have ever seen.  They take their sweet time filling your order in the drive thru, then they get it wrong.   Really bad - so bad that you can go here if you want to get verbally abused and badgered.  I've thought of some amusing responses to make, but they just don't care.  Every person who has helped me here is terrible, so this must include the manager.  Can't believe the franchise owner puts up with this.","3/3/2022",0
"Burger King","Won't give a rating because the Customer Service was a Negative! The Manager argued with me that My Impossible patties that I purchased were Not burnt!... She argued with me that that's the way the Impossible Patties look.  I've had SEVERAL Impossible patties before and I am a Foodie so I KNOW burned food when I see it! Decided to just get a refund after she stormed off when I told her I still want my food just not Burned!!  WILL NOT RETURN!!

SN: have to give a rating since I can't post without it","6/13/2020",2
"Burger King","Who owns this franchise, they are not properly staffing this place. At most I have seen two employees working at once, many times a week they shut down the drive through since they don't have enough employees to operate. I feel terrible for the staff but there needs to be a change in management. Worst run BK in Dallas.","8/22/2021",1
"Burger King","Don't even think about visiting this place.  I love veggie burgers and sometimes would buy one from BK in a fit of desperation.  

I walked into BK today to return an error in my order from the drive thru.  The cashier gave me the corrected sandwich and placed the error sandwich INTO THE HEAT LAMP AREA for later use.  I told her that I opened and touched the sandwich so it should be tossed.  She ignored me and so did the manager.

I learned tonight that BK has the highest rate of sanitary violations for fast food restaurants.

I am done with BK veggie burgers.","4/7/2018",3
"Burger King","Spent 5-6 min waiting in front of the monitor drive through and no one even buzzed in to acknowledge me . So I figured it may have been broken (which happens ) so I pulled in line with 3 cars ahead of me . 10-15 min later I finally pull up to the window and the guy asked if I ordered to which I replied that I never got to order . He then laughed amusingly and said they were busy and that's why he told me to wait . First of all no one told me anything . I wasn't even acknowledged. I'm glad to think he finds it funny that they are upsetting customers and can't keep up with the rush . He then told me he couldn't take my order . That's right , the guy with the headset taking drive through orders said he couldn't take my order . I mean what's the difference in me telling him at the monitor versus at the window seeing as how no one even attempted to take my order or  tell me to please wait . Totally a wait of my time and very unprofessional!","2/27/2022",0
"Burger King","Please update your menu if you dont sell tenders dont advertise them. I ended up with nuggets that were old and cold. Gross","7/11/2020",2
"Burger King","This is probably the dirtiest restaurant I have ever been to. I get it that it's fast food and expectations should be low but this goes too far below the bar.","12/9/2018",4
"Burger King","Terrible service. Waited in line for 30 mins and was trapped. How is this place in business","2/24/2021",1
"Burger King","I don't frequent fast food joints, but I must say that in the past year I've come to this location twice, and both times something was screwed up in the drive-through lane. 
The first time, something was wrong with their register, or their gift card program, and they were only able to take cash. Second time, the intercom was broken, and they required you to place your order at the window. First world problems I know, but their batting a thousand on inconveniences to customers. Maybe it's time to spend some money on the infrastructure?","1/18/2018",2
"Burger King","The lady did not speak proper English so I ask for my order in Spanish and she yelled at us very unethical I won't go back here","8/2/2020",2
"Burger King","Dining room has garbage everywhere with dirty tables.  Soft drink mackinaw does not work.  Good came out cold, and order was inaccurate","2/18/2019",3
"Burger King","Worst customer service ever! Yelled at me and told me i could not wait for my friend because i had left overs from somewhere else unless i was going to buy food. Also the times i went before they would just look at me and not take my order and never say anything back when i say thank you. Please get rid of the entire staff. I could keep going about all the horrible things I've experienced but Everyone is so rude!","11/22/2020",0
"Burger King","Made an order for four impossible patties. The cashier was very confused with the order but I did get my burgers.  When I received the burgers they were burnt. Did not realize that until I got them home. Took them back up to the store gave them to the manager and showed her that they were burnt. I explained to her that they are burnt she exclaimed over and over that they were not burnt but that that's the way they are when they come off of the fire. I said I've had them before these are burnt she said again they are not. I said can I get more she said this is the way they are I said can I get my money back because she had an attitude I was afraid to get more. It took about 10 minutes for her to figure out how to give me a refund but I did get my refund. Will I go back to that Burger King to get my impossible whoppers ... NEVER.","6/13/2020",0
"Burger King","I'm surprised this establishment is still open. I've been made fun of for writing bad Yelp reviews on fast food restaurants; but come on everyone needs to be held accountable for bad service. I came in the drive through and ordered two bacon cheeseburgers because I had a by one get one coupon, so I added spicy chicken nuggets cause I was having a fat attack. She said sorry we don't sell spicy nuggets no more I said  ok thats cool I get the regular but they had all the advertisements up all over the place that they still sell them. Oh well. Anyways so I handed her the coupon and she said and I quote  next time you have a coupon let us know you have a one at the intercom because it messes up up and I have to delete everything and rering you up I missed the part of how that is the customer at fault or my problem for that matter. So I asked for my receipt because I wanted a corporate number she said it doesn't work so yeah now I remember why I haven't had Burger King in two years. I'll try again in another two years.","11/5/2017",2
"Burger King","I should have driven the extra 10 minutes to In and Out. I'm trying really hard not to judge this place harshly because it is a fast food restaurant and I shouldn't expect a 5 star service but I was in a hurry and this was the first thing I saw on the way. 

So I pull up and order a #1, which is the Whopper and so the girl working asks me if that was all, and I told her no I would also care for a drink and fries. Well she then proceeds to tell me Thanks second window and as I'm driving over there I realize she never asked me what kind of drink I wanted. No big deal, she'll probably ask me when I get to the window. Sadly she did not, she hands me my drink and when I ask what it was she tells me it's a coke. Oh... okay, I was going to ask for a Sprite but I'm not picky, I'm at Burger King clearly, so a coke is fine. Well, I pay for my meal and drive off. 

My biggest issue here wasn't the 7 fries I got with my order or the fact the coke tasted weird, but my burger, the whopper, was COLD. Correct me if I'm wrong, but even fast food burgers are supposed to be at least warm. Get it together. This place honestly sucks. Take your money and go somewhere else.","9/30/2015",1
