productModel,reviewID,reviewStars,reviewDate,productStyle,productStorage,productColor,productSize,productChip,verified
iPad pro 11,1675113585-1574,5,10jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1575,5,02jan2023,WiFi + Cellular,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1576,5,02jan2023,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1577,5,24dec2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1578,5,15dec2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1579,5,01jan2023,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1580,5,04jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1581,5,04jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1582,5,07dec2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1583,5,29dec2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1584,5,25dec2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1585,5,29dec2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1586,5,27dec2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1587,4,14nov2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1588,5,09dec2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1589,5,28jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1590,5,22nov2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1591,4,28nov2022,WiFi,512GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1592,5,29nov2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1593,5,07dec2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1594,5,24nov2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1595,5,13nov2022,WiFi,128GB,Silver,11,M2,1
iPad pro 11,1675113585-1596,5,20nov2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1597,5,27nov2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1598,5,11nov2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1599,5,15nov2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1600,5,09nov2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1601,5,03nov2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1602,5,28oct2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1603,5,29oct2022,WiFi,512GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1604,5,30oct2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1605,3,06nov2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1606,2,03dec2022,WiFi + Cellular,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1607,1,30dec2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1608,2,21nov2022,WiFi + Cellular,512GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1609,1,21dec2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1610,1,04jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1611,1,23dec2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1612,1,25dec2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1613,1,31oct2022,WiFi,128GB,Silver,11,M2,1
iPad pro 11,1675113585-1614,1,18dec2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1615,1,17nov2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1616,1,12nov2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1617,4,04nov2022,WiFi,256GB,Space Gray,11,M2,0
iPad pro 11,1675113585-1618,3,01dec2022,WiFi,128GB,Space Gray,11,M2,0
iPad pro 11,1675113585-1619,3,02nov2022,WiFi,128GB,Space Gray,11,M2,0
iPad pro 11,1675113585-1620,5,13dec2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1621,5,03jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1622,5,16dec2022,WiFi + Cellular,128GB,Silver,11,M2,1
iPad pro 11,1675113585-1623,5,22dec2022,WiFi,1T,Space Gray,11,M2,1
iPad pro 11,1675113585-1624,5,29dec2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1625,5,08jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1626,5,28dec2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1627,5,18dec2022,WiFi,256GB,Silver,11,M2,1
iPad pro 11,1675113585-1628,5,09jan2023,WiFi,1T,Silver,11,M2,1
iPad pro 11,1675113585-1629,5,27dec2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1630,5,13jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1631,5,18nov2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1632,5,18dec2022,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1633,5,01jan2023,WiFi,256GB,Space Gray,11,M2,1
iPad mini,1675113106-194,5,28dec2022,WiFi,256GB,Purple,8.3,A15,1
iPad mini,1675113106-195,5,04nov2022,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-196,5,11jan2023,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-197,3,08oct2021,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-198,5,27jan2023,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-199,5,27jan2023,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-200,5,19jan2023,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-201,5,14jan2023,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-202,5,02jan2023,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-203,5,26jan2023,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-204,5,27jan2023,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-205,5,22jan2023,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-206,5,26jan2023,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-207,4,24jan2023,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-208,5,26dec2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-209,5,26dec2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-210,5,30nov2022,WiFi,64GB,Pink,8.3,A15,1
iPad mini,1675113106-211,5,18jan2023,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-212,5,20dec2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-213,5,07jan2023,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-214,5,11dec2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-215,5,09jan2023,WiFi,64GB,Pink,8.3,A15,1
iPad mini,1675113106-216,5,07jan2023,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-217,5,21dec2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-218,5,26dec2022,WiFi,256GB,Starlight,8.3,A15,1
iPad mini,1675113106-219,5,21dec2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-220,5,06jan2023,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-221,5,01jan2023,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-222,4,04jan2023,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-223,5,07jan2023,WiFi,64GB,Pink,8.3,A15,1
iPad mini,1675113106-224,5,03jan2023,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-225,5,29dec2022,WiFi + Cellular,64GB,Purple,8.3,A15,1
iPad mini,1675113106-226,5,17nov2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-227,4,01jan2023,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-228,5,13dec2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-229,3,10jan2023,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-230,5,27dec2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-231,4,05jan2023,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-232,5,17nov2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-233,4,16may2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-234,5,07dec2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-235,5,19oct2022,WiFi,256GB,Purple,8.3,A15,1
iPad mini,1675113106-236,5,23nov2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-237,5,07dec2022,WiFi,256GB,Pink,8.3,A15,1
iPad mini,1675113106-238,5,17jul2022,WiFi,256GB,Starlight,8.3,A15,1
iPad mini,1675113106-239,5,08nov2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-240,5,19nov2022,WiFi + Cellular,64GB,Purple,8.3,A15,1
iPad mini,1675113106-241,5,10nov2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-242,5,01dec2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-243,5,18may2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-244,5,09nov2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-245,4,18sep2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-246,5,16nov2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-247,5,23nov2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-248,5,11nov2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-249,5,27nov2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-250,5,20nov2022,WiFi,64GB,Pink,8.3,A15,1
iPad mini,1675113106-251,4,17oct2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-252,5,06nov2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-253,5,03nov2022,WiFi,256GB,Purple,8.3,A15,1
iPad mini,1675113106-254,5,07dec2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-255,5,05dec2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-256,5,02dec2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-257,5,08oct2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-258,3,28jan2023,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-259,5,29nov2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-260,5,25sep2022,WiFi + Cellular,64GB,Purple,8.3,A15,1
iPad mini,1675113106-261,5,13mar2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-262,5,16oct2022,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-263,5,28jul2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-264,5,15nov2022,WiFi,64GB,Pink,8.3,A15,1
iPad mini,1675113106-265,4,26oct2022,WiFi,256GB,Starlight,8.3,A15,1
iPad mini,1675113106-266,5,17nov2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-267,5,15nov2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-268,5,22jul2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-269,4,01oct2022,WiFi,256GB,Starlight,8.3,A15,1
iPad mini,1675113106-270,4,23sep2022,WiFi + Cellular,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-271,5,10nov2022,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-272,5,11nov2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-273,5,17feb2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-274,5,28oct2022,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-275,4,06oct2022,WiFi,256GB,Purple,8.3,A15,1
iPad mini,1675113106-276,5,02nov2022,WiFi,256GB,Pink,8.3,A15,1
iPad mini,1675113106-277,5,11nov2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-278,5,16aug2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-279,5,18sep2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-280,5,17nov2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-281,4,19oct2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-282,5,29oct2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-283,5,08oct2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-284,5,04nov2022,WiFi,256GB,Starlight,8.3,A15,1
iPad mini,1675113106-285,4,13mar2022,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-286,5,11jun2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-287,4,09oct2022,WiFi + Cellular,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-288,4,20jul2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-289,4,13mar2022,WiFi + Cellular,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-290,4,14dec2021,WiFi + Cellular,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-291,5,05nov2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-292,5,16oct2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-293,5,19oct2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-294,5,12jun2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-295,5,08jan2022,WiFi,256GB,Pink,8.3,A15,1
iPad mini,1675113106-296,5,16oct2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-297,5,30sep2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-298,5,11oct2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-299,5,16sep2022,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-300,5,18dec2021,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-301,5,21oct2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-302,5,14may2022,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-303,5,30oct2022,WiFi + Cellular,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-304,3,24oct2022,WiFi,256GB,Starlight,8.3,A15,1
iPad mini,1675113106-305,5,31jan2022,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-306,5,20sep2022,WiFi,64GB,Pink,8.3,A15,1
iPad mini,1675113106-307,5,07jul2022,WiFi,256GB,Purple,8.3,A15,1
iPad mini,1675113106-308,5,07oct2022,WiFi,256GB,Pink,8.3,A15,1
iPad mini,1675113106-309,5,23oct2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-310,5,18aug2022,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-311,5,13oct2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-312,4,01aug2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-313,5,20mar2022,WiFi + Cellular,256GB,Purple,8.3,A15,1
iPad mini,1675113106-314,5,18sep2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-315,5,08jun2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-316,5,22sep2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-317,5,14sep2022,WiFi + Cellular,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-318,5,28jun2022,WiFi,64GB,Pink,8.3,A15,1
iPad mini,1675113106-319,3,06jul2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-320,5,28jun2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-321,4,02mar2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-322,1,21oct2021,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-323,4,03jul2022,WiFi,256GB,Purple,8.3,A15,1
iPad mini,1675113106-324,5,27sep2022,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-325,4,19mar2022,WiFi,256GB,Space Gray,8.3,A15,1
iPad mini,1675113106-326,5,18apr2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-327,5,19jul2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-328,4,25jul2022,WiFi,256GB,Purple,8.3,A15,1
iPad mini,1675113106-329,4,16jun2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-330,5,06aug2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-331,4,31dec2021,WiFi,64GB,Pink,8.3,A15,1
iPad mini,1675113106-332,5,14sep2022,WiFi,64GB,Starlight,8.3,A15,1
iPad mini,1675113106-333,5,03sep2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-334,5,21apr2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-335,5,22sep2022,WiFi,64GB,Pink,8.3,A15,1
iPad mini,1675113106-336,5,21sep2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-337,5,31may2022,WiFi,256GB,Starlight,8.3,A15,1
iPad mini,1675113106-338,3,21oct2022,WiFi,256GB,Purple,8.3,A15,1
iPad mini,1675113106-339,5,05jul2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-340,5,14jun2022,WiFi,64GB,Purple,8.3,A15,1
iPad mini,1675113106-341,4,04jun2022,WiFi,256GB,Starlight,8.3,A15,1
iPad mini,1675113106-342,5,26may2022,WiFi,64GB,Space Gray,8.3,A15,1
iPad mini,1675113106-343,5,01sep2022,WiFi,64GB,Space Gray,8.3,A15,1
