customerid,creditscore,geography,gender,age,tenure,balance,numofproducts,hascreditcard,isactivemember,estimatedsalary,churn
3676944,779,Belgium,Female,28,4,142243.55,2,1,0,33413.852,0
3759297,618,Belgium,Female,32,4,111156.52,1,1,1,167566.91,0
3599754,826,Belgium,Male,27,10,0,2,0,0,13483.64,0
3631137,824,Belgium,Male,28,4,0,1,1,0,174921.5,0
3807067,739,Netherlands,Male,43,2,166522.78,1,0,0,119771.99,1
3584161,899,Belgium,Male,30,0,133634.02,1,1,1,162652.84,0
3566756,729,Luxembourg,Male,39,7,167557.13,1,1,1,41888.059,0
3674435,526,Belgium,Female,68,3,107571.61,1,0,1,114281.85,0
3742002,656,Netherlands,Male,31,6,139729.55,1,0,1,135909.77,0
3760368,618,Belgium,Male,32,5,0,2,1,0,59721.43,0
3616474,710,Netherlands,Male,23,3,122478.51,1,1,0,147489.33,1
3736229,554,Luxembourg,Male,27,2,0,2,1,0,23170.16,0
3620554,774,Belgium,Male,49,6,202904.64,1,1,1,17736.17,1
3806569,830,Belgium,Female,40,0,3768.6899,2,1,0,177575.52,1
3777988,680,Luxembourg,Female,28,8,97840.719,1,1,1,178824.22,0
3764459,665,Belgium,Male,33,2,0,1,1,0,96725.938,0
3657012,602,Belgium,Male,74,2,0,2,0,1,52225.141,0
3569046,571,Belgium,Female,43,10,0,2,1,0,149760.06,1
3590686,728,Luxembourg,Female,34,10,107556.06,2,0,0,155102.27,0
3632349,654,Netherlands,Male,31,4,77743.008,2,1,0,75522.008,0
3664570,557,Netherlands,Male,28,1,79460.977,2,1,1,168602.34,0
3658038,555,Belgium,Female,44,9,135814.7,2,0,0,115440.88,0
3617732,583,Belgium,Male,36,9,129829.59,1,1,1,61357.762,0
3583190,806,Netherlands,Male,37,9,135776.36,3,1,0,85668.547,1
3663276,786,Belgium,Male,32,6,93694.422,1,1,1,80493.523,0
3742990,650,Belgium,Female,44,6,0,2,0,0,167588.06,0
3658514,718,Netherlands,Female,37,5,92171.352,3,1,0,178221.42,1
3680718,772,Belgium,Male,46,7,49512.551,1,1,0,133118.94,0
3635762,623,Netherlands,Male,65,4,120100.41,1,1,0,107688.77,1
3670741,846,Netherlands,Male,31,9,182275.23,2,1,0,190905.83,0
3793115,622,Luxembourg,Female,22,7,141287.16,1,1,0,118706.78,0
3769957,706,Netherlands,Male,25,6,172812.72,2,1,1,108132.88,0
3626593,678,Belgium,Female,40,3,0,1,1,0,113887.02,1
3790542,876,Belgium,Female,34,9,92899.273,2,1,0,97866.844,0
3713471,530,Belgium,Female,33,1,137853,1,0,1,90849.18,0
3572265,515,Belgium,Male,37,5,0,2,1,1,128007.97,0
3770937,600,Netherlands,Male,34,8,147487.23,2,1,0,66973.969,0
3744587,861,Luxembourg,Female,32,6,114512.59,1,1,0,15838.46,0
3670664,724,Belgium,Male,31,2,0,2,1,1,108514.99,0
3722967,686,Belgium,Female,31,9,138857.59,1,1,0,49249.809,0
3768253,701,Belgium,Male,60,8,0,2,1,1,51642.969,0
3626993,624,Netherlands,Male,26,1,112930.28,2,1,0,22189.09,0
3743091,656,Netherlands,Female,35,1,163700.78,3,1,1,29770.93,1
3741227,751,Luxembourg,Female,31,9,119825.75,2,1,1,101318.83,0
3658104,768,Belgium,Male,68,4,97705.992,1,1,1,62190.211,0
3640289,519,Belgium,Female,33,10,147493.7,2,1,0,100760.09,0
3584765,651,Luxembourg,Male,57,6,0,2,1,1,72764.891,0
3710623,669,Luxembourg,Male,31,7,110071.1,1,0,0,44249.68,0
3614289,596,Belgium,Male,39,3,139153.69,2,1,0,147813.16,0
3766215,679,Belgium,Female,60,2,0,2,1,1,44321.469,0
3659273,650,Belgium,Female,33,6,135703.59,2,0,0,75638.781,0
3713176,773,Belgium,Male,38,10,0,2,0,0,54049.801,0
3694972,732,Belgium,Male,29,4,132954.64,1,1,1,147033.83,0
3682753,783,Belgium,Female,32,2,84378.898,1,1,1,75489.242,0
3684793,766,Luxembourg,Male,49,8,116622.73,1,0,1,51098.75,0
3785357,724,Belgium,Male,43,1,133237.2,1,1,0,111798.65,1
3567632,778,Belgium,Male,49,5,105918.1,1,1,1,16925.9,0
3691800,559,Belgium,Male,33,6,93791.383,1,1,1,200027.06,0
3781575,654,Belgium,Male,33,3,148659.48,1,0,0,43174.949,0
3752614,563,Belgium,Male,29,3,114590.58,1,0,0,75905.102,0
3689126,740,Netherlands,Male,48,9,114169.16,1,0,0,173485.16,1
3814570,718,Netherlands,Male,49,4,160133.88,1,0,1,88632.656,0
3762946,627,Belgium,Male,39,9,84719.977,1,0,0,191391.11,0
3639388,797,Belgium,Female,30,3,141581.08,1,1,0,156966.48,0
3695477,835,Luxembourg,Male,39,2,104349.45,1,0,0,79655.18,0
3691422,853,Belgium,Male,33,2,132150.27,2,1,0,23298.939,0
3732538,816,Luxembourg,Female,32,9,178095.55,1,0,0,47886.922,0
3730338,837,Luxembourg,Male,45,8,88656.367,2,1,0,117292.57,0
3713624,680,Netherlands,Female,20,0,117356.19,1,0,0,113617.58,1
3658778,762,Netherlands,Male,26,9,128793.63,1,1,0,19295.32,0
3763993,568,Luxembourg,Male,39,4,111900.14,1,1,1,97776.742,0
3620066,701,Netherlands,Male,43,3,212696.31,1,1,0,116047.05,0
3749902,735,Netherlands,Male,43,5,132615.73,2,1,0,33191.77,0
3753975,775,Luxembourg,Male,53,2,111061.01,2,0,0,26718.24,0
3734878,584,Belgium,Female,64,2,0,1,1,1,6109.7202,0
3613428,789,Belgium,Male,52,8,109922.61,1,1,1,97490.57,1
3621616,802,Netherlands,Male,29,7,117726.33,1,1,1,175466.88,0
3673727,585,Belgium,Male,64,4,0,2,1,1,149055.92,0
3651383,668,Netherlands,Male,35,2,117212.18,1,1,1,83221.023,0
3750553,466,Luxembourg,Female,33,8,0,2,0,0,157354.8,0
3625243,642,Belgium,Female,36,8,68348.18,2,0,1,50722.25,0
3792271,636,Netherlands,Female,50,5,88379.813,3,0,1,64177.141,1
3765983,920,Netherlands,Male,31,4,146587.3,1,1,1,90590.992,0
3681072,729,Luxembourg,Female,56,2,105473.74,1,1,1,46457.02,0
3624027,719,Belgium,Female,22,4,0,2,1,1,11597.72,0
3697116,845,Netherlands,Male,32,9,77487.203,1,0,0,33807.859,0
3633748,787,Belgium,Male,41,1,101960.74,1,1,1,123565.12,0
3575883,776,Belgium,Male,41,5,0,2,0,0,144238.48,0
3776622,740,Belgium,Male,28,6,122724.37,1,1,1,67380.602,0
3702467,701,Netherlands,Male,44,2,117028.6,2,0,1,145134.06,0
3678131,704,Belgium,Female,26,7,0,2,1,0,87157.031,0
3674638,685,Belgium,Female,38,5,101430.3,2,0,1,4858.8398,0
3795096,611,Netherlands,Female,35,9,206868.78,2,0,1,103420.33,0
3810001,522,Netherlands,Female,44,6,77627.328,2,1,0,108608.96,0
3794002,732,Belgium,Male,28,7,108116.66,1,1,1,27419.26,0
3638408,680,Netherlands,Female,65,5,117325.54,1,1,0,156577.25,1
3800923,677,Belgium,Female,32,1,0,1,1,0,107101.47,0
3705803,704,Belgium,Male,46,2,174701.05,1,1,0,90308.844,1
3629071,699,Netherlands,Male,42,8,145177.84,1,1,0,193646.55,1
3790607,736,Luxembourg,Male,40,7,74896.922,1,1,0,198949.59,0
3810188,746,Belgium,Female,41,1,0,2,0,1,28057.619,1
3644094,809,Belgium,Female,30,8,105209.54,1,1,0,2064.6899,0
3754875,826,Netherlands,Female,37,0,105617.73,2,1,1,133744.39,1
3671942,679,Belgium,Female,38,6,144432.05,1,1,1,74082.406,1
3619798,810,Netherlands,Male,34,6,121303.77,2,1,1,59945.762,0
3581452,850,Belgium,Male,32,7,0,2,0,1,38236.82,0
3671428,800,Netherlands,Female,40,1,99745.953,1,1,0,177943.38,0
3742622,752,Netherlands,Male,42,7,162318.61,1,1,0,121672.09,0
3734472,595,Belgium,Female,41,6,0,1,1,0,65378.371,0
3633616,813,Belgium,Male,32,9,0,2,1,0,133891.88,0
3796168,630,Luxembourg,Male,40,5,155455.44,1,0,1,114349,0
3814266,590,Netherlands,Male,50,1,121399.98,1,0,1,84718.617,1
3679097,728,Luxembourg,Female,27,7,123826.07,1,0,1,79697.906,0
3721528,644,Luxembourg,Female,44,4,0,2,1,0,58683.059,0
3588378,595,Netherlands,Female,36,4,109646.83,1,1,1,70628.461,0
3734408,607,Belgium,Male,42,4,89838.711,3,1,0,86586.563,1
3698725,681,Belgium,Male,39,7,0,2,0,1,37013.719,0
3699881,639,Luxembourg,Male,39,2,139443.75,2,1,0,9941.0801,0
3706445,816,Belgium,Male,31,7,0,3,1,1,166793.06,0
3809061,775,Netherlands,Male,29,5,109676.52,1,1,1,25848.85,0
3627010,656,Belgium,Female,36,2,110414.48,1,1,1,49623.66,0
3722333,482,Belgium,Female,33,7,127837.54,1,0,1,60744.352,0
3693057,697,Belgium,Male,30,1,128207.23,1,1,1,55672.148,0
3757415,771,Belgium,Male,55,6,134140.69,1,1,0,2816.99,0
3733379,882,Netherlands,Male,32,9,80262.656,1,1,0,195597.27,0
3813914,649,Belgium,Female,42,7,0,2,1,0,144798.34,0
3585080,789,Belgium,Male,62,1,127706.33,2,0,1,143145.34,0
3791066,606,Luxembourg,Male,38,0,122447.76,1,0,0,67743.453,0
3615094,423,Belgium,Male,39,10,0,1,1,0,161535.95,1
3615970,852,Belgium,Male,31,2,0,2,1,0,8903.1504,0
3706912,859,Belgium,Male,30,2,0,2,0,1,3521.74,0
3811571,622,Belgium,Male,36,4,0,2,1,1,141822.48,0
3792868,565,Luxembourg,Female,41,2,69974.656,2,1,0,188709.25,1
3626698,467,Belgium,Male,29,1,141325.56,1,1,1,93949.727,0
3691638,554,Netherlands,Female,37,6,159863.91,2,0,1,125558.56,0
3775607,722,Netherlands,Female,26,6,98723.672,1,0,1,151790.97,0
3785165,707,Belgium,Female,56,4,0,1,0,0,84544.703,1
3616631,745,Luxembourg,Male,27,2,0,2,1,1,13878.61,0
3622103,821,Netherlands,Female,33,2,107868.14,2,1,1,146242.09,0
3610710,672,Luxembourg,Female,41,6,112119.48,1,1,0,17673.49,0
3665558,864,Luxembourg,Male,38,7,0,2,0,1,58383.422,0
3700894,852,Belgium,Male,44,8,123863.64,1,1,0,145282.39,0
3641802,711,Belgium,Male,25,1,0,2,0,1,16573.391,0
3792447,557,Luxembourg,Female,31,9,0,2,0,0,99409.539,0
3640205,857,Netherlands,Male,45,0,135827.33,2,1,1,132162.59,0
3787417,859,Belgium,Male,18,2,160980.03,1,0,0,146118.48,0
3696159,726,Netherlands,Male,31,7,125681.51,1,0,1,130178.92,0
3704264,723,Belgium,Female,34,7,0,2,1,0,195410.31,0
3639155,491,Belgium,Male,46,9,134950.19,3,0,0,178708.63,1
3794358,589,Belgium,Male,57,5,0,1,1,1,133749.95,0
3689223,740,Luxembourg,Male,35,8,100988.39,2,1,0,22453.039,0
3768080,774,Netherlands,Male,36,6,94615.109,2,1,1,11052.59,0
3812414,736,Belgium,Female,49,10,0,1,1,0,83104.039,1
3743998,631,Belgium,Female,36,1,70784.273,1,1,0,31119.561,0
3758160,738,Belgium,Female,41,9,152243.56,1,1,1,89483.531,0
3714054,675,Belgium,Male,30,7,109805.3,1,0,1,164218.39,0
3610392,649,Belgium,Female,37,8,0,2,1,0,21604.811,0
3744515,760,Belgium,Female,44,2,0,2,1,1,27487.98,0
3667830,655,Belgium,Female,37,4,0,1,1,1,80533.844,0
3794277,780,Luxembourg,Male,77,8,149083.7,1,1,1,190384.91,0
3575863,755,Luxembourg,Female,40,5,171325.98,1,1,1,160225.42,1
3585160,786,Belgium,Female,60,6,0,1,1,0,18015.68,1
3775105,558,Luxembourg,Female,38,3,97266.102,1,1,1,93259.398,0
3806028,637,Netherlands,Male,40,2,121647.54,2,1,1,65219.262,1
3694098,778,Belgium,Male,26,4,0,2,1,0,135948.23,0
3762619,748,Luxembourg,Male,33,5,0,2,0,1,117917.33,0
3812268,794,Belgium,Male,61,5,0,2,0,1,29402.18,0
3636482,765,Belgium,Male,34,10,0,2,1,1,199053.2,0
3725458,740,Belgium,Male,20,1,80569.727,1,0,0,69396.047,0
3609421,684,Belgium,Female,63,5,0,1,1,0,28314.16,1
3575875,651,Belgium,Female,27,9,159561.94,1,0,1,103877.72,0
3588139,706,Luxembourg,Male,47,10,99835.172,1,0,1,89855.133,0
3694316,673,Luxembourg,Female,36,0,0,2,1,0,111616.76,0
3728817,624,Luxembourg,Male,34,8,98382.719,1,1,0,39974.898,0
3603001,668,Belgium,Female,27,6,0,2,1,0,1209.6899,0
3625421,595,Belgium,Female,45,4,0,2,0,1,121317.65,0
3713688,763,Belgium,Male,44,3,0,2,0,1,153082.42,0
3740995,762,Luxembourg,Male,22,8,0,3,1,0,107459.82,0
3658688,655,Netherlands,Male,46,4,98899.758,2,1,1,86819.273,0
3656395,444,Netherlands,Male,38,2,135559.8,2,1,1,72278.469,0
3599908,583,Netherlands,Female,41,3,57745.762,1,1,0,4610.6299,0
3698119,691,Netherlands,Male,34,3,95039.727,2,1,1,147232.7,0
3577072,598,Netherlands,Female,43,3,134985.66,1,1,0,6349.6899,0
3658566,603,Belgium,Female,49,2,0,1,0,0,65891.367,1
3595438,758,Belgium,Male,37,8,0,2,0,0,145493.22,0
3657104,612,Belgium,Female,47,2,0,1,0,0,111569.44,1
3671332,679,Netherlands,Female,57,6,90212,1,1,0,14300.4,1
3640934,630,Belgium,Male,32,2,0,2,0,1,78689.352,0
3782329,731,Luxembourg,Female,31,8,0,2,1,0,188965.44,0
3699045,814,Belgium,Female,44,5,0,2,1,1,124120.24,1
3761515,764,Belgium,Male,26,10,51962.91,2,1,0,45546.922,0
3656282,738,Belgium,Male,40,4,0,2,1,1,141248.95,0
3581831,785,Netherlands,Male,44,3,138076.47,1,1,0,15642.74,1
3744093,805,Belgium,Male,40,1,94773.109,1,1,0,114511.48,0
3652472,542,Belgium,Male,20,0,83459.859,1,1,1,147049.34,0
3811776,711,Netherlands,Male,46,2,104763.41,1,1,1,62913.73,0
3573082,641,Belgium,Female,45,2,0,2,0,0,11531.38,0
3579132,821,Netherlands,Female,45,5,126674.81,1,1,0,124511.3,1
3742036,727,Netherlands,Male,35,4,136496.13,2,1,0,117039.08,0
3804314,638,Belgium,Male,38,2,0,1,1,0,80517.406,0
3723286,725,Netherlands,Male,47,7,106854.21,1,0,1,158451.75,1
3718252,759,Luxembourg,Female,44,2,0,2,0,0,46225.809,0
3585981,617,Belgium,Female,35,5,0,2,1,0,60355.52,0
3707766,588,Luxembourg,Male,36,8,73211.117,2,1,0,90165.258,1
3620002,607,Netherlands,Female,57,1,106138.33,2,1,1,120698.15,1
3811838,619,Belgium,Male,36,6,153880.16,1,0,0,136096.92,0
3662959,758,Netherlands,Female,51,5,143139.88,1,0,0,47905.262,1
3615595,779,Netherlands,Male,59,5,108585.35,1,1,1,192417.56,1
3634694,533,Belgium,Female,39,6,0,2,0,1,27980.949,0
3687857,838,Netherlands,Female,42,9,105356.09,2,1,1,130567.31,0
3702835,644,Belgium,Male,37,5,0,1,0,1,178906.89,1
3605139,686,Belgium,Female,58,8,93173.883,1,1,1,140136.28,0
3727182,744,Netherlands,Female,43,10,146547.78,1,0,1,10248.37,1
3643469,747,Netherlands,Male,49,5,97036.219,2,1,0,152630.45,1
3629904,557,Luxembourg,Male,29,2,0,2,1,0,55688.281,0
3595455,717,Netherlands,Male,40,4,95001.328,1,0,1,123735.85,0
3618001,824,Netherlands,Male,51,8,116197.65,2,1,1,87436.547,0
3630968,736,Belgium,Male,45,3,0,2,1,1,30964.4,0
3655673,521,Belgium,Female,33,3,0,2,1,0,132474.77,0
3655027,883,Netherlands,Female,35,7,114285.2,1,0,1,129745.44,0
3698514,649,Belgium,Female,70,3,87926.242,2,1,0,33645.391,1
3793223,566,Luxembourg,Female,33,9,0,1,0,1,183550.84,0
3618112,682,Belgium,Male,40,8,114005.78,1,1,1,68413.539,0
3671732,564,Netherlands,Male,39,2,132906.88,1,0,1,149771.86,0
3605222,678,Luxembourg,Male,38,7,123906.55,1,1,0,135181.45,0
3811387,728,Luxembourg,Male,42,8,0,2,1,0,181328.83,0
3581130,671,Netherlands,Female,30,1,83173.977,2,1,1,184267.3,0
3694242,728,Netherlands,Female,32,8,157138.98,3,1,0,191696.63,1
3686969,703,Luxembourg,Male,34,5,146679.77,1,1,0,102809.97,0
3583648,733,Netherlands,Male,68,0,126061.51,2,1,1,185484.69,0
3701812,592,Luxembourg,Male,33,1,56084.691,2,0,0,179037.84,0
3601585,698,Netherlands,Male,35,2,103711.56,1,0,1,192533.23,1
3635038,598,Belgium,Male,42,1,0,2,0,0,24510.09,0
3721715,589,Belgium,Female,38,8,95139.406,1,1,1,86640.156,0
3611985,587,Netherlands,Male,32,8,155726.84,1,1,0,68368.438,0
3578545,764,Luxembourg,Male,26,5,83600.242,1,0,1,59824.398,0
3701730,600,Belgium,Female,52,6,140900.97,1,1,1,67584.406,0
3664466,600,Belgium,Female,42,9,144801.97,1,0,1,13146.76,1
3676885,740,Belgium,Female,39,5,138106.75,1,0,0,19694.949,0
3701089,660,Belgium,Male,44,3,0,2,1,0,31093.131,0
3582539,747,Belgium,Female,35,5,124151.09,1,1,0,89375.453,1
3595407,716,Netherlands,Male,52,9,135870.02,2,0,0,54768.609,0
3630987,625,Netherlands,Male,38,9,67111.648,1,1,0,78932.398,1
3598542,638,Netherlands,Female,71,6,140273.47,1,1,1,193520.69,1
3811640,673,Luxembourg,Male,26,7,0,2,1,1,6660.5698,0
3615827,721,Belgium,Male,32,7,0,2,1,0,7982.1499,0
3697108,579,Netherlands,Female,28,3,152264.81,1,0,0,64812.398,0
3570087,761,Netherlands,Male,43,8,103409.16,1,1,0,67400.523,1
3789344,691,Luxembourg,Male,28,8,0,2,1,0,126878.88,0
3685718,659,Luxembourg,Male,34,2,101506.66,1,0,0,198764.06,0
3662992,604,Netherlands,Female,40,3,110150.43,1,1,1,192323.94,1
3653655,564,Belgium,Male,34,2,0,2,1,1,149230.73,0
3800315,709,Luxembourg,Male,32,5,163340.13,2,1,1,74835.078,0
3713435,769,Belgium,Male,34,2,117468.67,1,1,0,185272.83,0
3587241,739,Belgium,Female,69,1,0,2,1,1,132357.73,0
3684948,879,Netherlands,Male,28,7,167658.33,2,1,1,111467.36,0
3812122,812,Belgium,Male,27,1,0,2,1,1,190791.77,0
3815226,861,Belgium,Male,34,3,105057.33,1,1,0,9478.1699,0
3577111,697,Belgium,Male,44,3,116967.68,1,1,0,5362.8901,1
3678946,578,Belgium,Male,44,3,115451.05,2,0,0,67262.82,0
3567355,580,Belgium,Male,27,2,128243.03,1,1,1,12252.3,0
3757319,618,Belgium,Male,35,2,132164.27,1,0,1,165245.3,0
3622292,739,Belgium,Male,27,2,0,2,0,0,26323.029,0
3756075,882,Netherlands,Female,43,8,92244.828,2,1,0,55417.859,0
3792127,541,Netherlands,Male,37,5,107106.33,2,1,0,172349.83,0
3568674,536,Belgium,Female,34,1,102723.35,2,1,0,181014.13,0
3814263,656,Belgium,Male,24,1,182705.05,1,1,1,172023.31,0
3779418,595,Belgium,Male,36,1,0,1,0,1,94654.813,0
3773507,898,Luxembourg,Male,35,0,0,2,0,1,198012.31,0
3775388,490,Netherlands,Female,48,2,69329.469,1,0,0,103280.98,1
3566861,816,Netherlands,Female,34,6,106434.94,1,0,1,138781.97,1
3622695,709,Belgium,Female,46,4,0,3,1,0,93466.031,1
3677103,540,Belgium,Female,35,7,107749.03,1,1,1,4040.8701,0
3792163,504,Belgium,Male,44,4,142051.06,2,0,1,75274.156,0
3696435,637,Belgium,Female,23,10,151097.28,1,0,1,17682.869,0
3592777,727,Netherlands,Female,34,6,37266.672,2,0,0,157357.81,0
3692214,363,Luxembourg,Female,52,8,143542.36,3,1,0,142148.97,1
3811213,765,Belgium,Female,44,6,134066.09,2,1,1,197807.98,0
3611901,647,Netherlands,Female,35,2,137852.95,1,1,1,172608.83,1
3661073,607,Netherlands,Male,52,3,110791.97,1,1,0,149036.55,1
3774134,702,Netherlands,Male,44,9,111369.79,2,1,1,92005.648,0
3619078,756,Belgium,Male,25,4,0,2,1,0,153349.83,0
3613135,839,Belgium,Male,47,2,0,2,1,1,182826.69,0
3733503,626,Belgium,Female,30,8,92472.102,2,0,1,127105,0
3617252,760,Belgium,Female,25,1,0,2,0,1,145239.42,0
3770341,698,Belgium,Male,37,7,74260.031,1,1,0,194751.48,0
3757837,650,Belgium,Male,44,6,0,2,0,1,104978.71,0
3686578,664,Luxembourg,Female,55,1,133676.66,1,0,1,17583.57,0
3569858,621,Belgium,Female,43,8,132558.27,1,1,0,67769.453,1
3767156,769,Netherlands,Female,45,1,97486.148,2,1,0,50635.891,0
3750727,751,Luxembourg,Male,39,8,0,2,1,0,99877.742,0
3737533,739,Luxembourg,Male,40,4,95053.102,1,1,1,117193.61,1
3709437,747,Belgium,Female,22,5,112465.06,1,1,1,93506.781,0
3724361,765,Netherlands,Female,42,3,65046.078,2,0,1,140632.84,0
3664321,701,Netherlands,Female,31,8,122021.92,2,1,0,34038.02,0
3606234,506,Luxembourg,Male,38,7,0,2,0,0,192753.94,0
3753882,742,Luxembourg,Male,35,1,106518.52,1,1,1,128714.27,0
3708063,660,Luxembourg,Female,24,10,159203.7,1,1,1,103131.81,1
3744077,730,Luxembourg,Female,58,8,0,2,1,1,66440.57,0
3743043,676,Belgium,Male,42,3,145155.38,1,1,0,72291.289,1
3677865,677,Luxembourg,Male,45,3,0,2,0,0,163866.77,0
3727666,783,Belgium,Female,38,2,129022.06,2,1,1,15116.04,1
3625320,761,Luxembourg,Male,31,7,0,2,0,1,145804.84,0
3743254,762,Belgium,Female,32,10,0,2,1,0,61154.129,0
3644694,696,Netherlands,Male,32,3,108586.86,1,1,1,182767.22,0
3666228,601,Belgium,Male,38,8,0,2,0,0,91772.781,0
3625538,659,Netherlands,Male,62,3,143426.34,2,1,1,143547.61,0
3598644,716,Belgium,Female,44,2,58781.762,1,1,0,17512.789,0
3687338,697,Belgium,Male,32,9,100249.41,2,0,1,67970.383,0
3711557,619,Belgium,Female,29,5,108541.04,1,1,1,126576.58,0
3610177,663,Belgium,Male,30,9,105443.68,1,1,1,121624.83,0
3745215,730,Belgium,Male,58,6,89685.922,1,0,1,127231.34,0
3773704,684,Belgium,Male,38,4,0,2,0,0,110930.58,0
3633668,868,Belgium,Female,36,10,0,2,1,1,100911.31,0
3653574,730,Netherlands,Female,57,1,162082.31,4,0,0,27748.061,1
3765610,620,Luxembourg,Male,48,1,0,2,1,1,9680.5898,0
3713617,599,Belgium,Male,48,3,92347.961,1,1,1,163221.69,0
3732442,586,Luxembourg,Female,54,5,92316.313,2,1,0,158925.42,1
3624172,774,Belgium,Male,28,9,0,2,0,1,2275,0
3787327,666,Luxembourg,Male,38,0,0,1,1,0,66111.992,1
3643617,730,Belgium,Female,25,4,0,2,0,0,82712.703,0
3767555,601,Luxembourg,Female,29,9,120307.58,1,1,1,6887.04,0
3590608,716,Netherlands,Female,41,9,144326.09,1,1,0,74578.094,1
3786949,701,Belgium,Female,34,7,0,2,1,1,199162.3,0
3638444,734,Belgium,Female,43,1,160474.59,1,1,1,96471.672,0
3667352,657,Belgium,Male,35,6,0,2,1,1,45524.57,0
3631867,840,Belgium,Male,39,8,125211.55,2,1,0,145244.27,0
3776429,479,Belgium,Female,36,5,119540.15,1,0,1,80933.328,0
3657898,704,Belgium,Female,42,0,0,2,0,1,140804.39,0
3613225,697,Netherlands,Female,49,7,108797.63,2,0,0,141197.23,0
3573691,591,Netherlands,Male,25,9,173459.45,2,1,1,44604.352,0
3651666,699,Belgium,Male,34,6,0,1,0,0,23129.24,0
3609154,719,Belgium,Female,25,1,0,2,0,0,88600.977,0
3778974,587,Netherlands,Female,58,3,108888.24,3,0,1,135894.06,1
3567220,707,Belgium,Male,42,6,0,2,1,0,162875.73,0
3660215,652,Netherlands,Female,43,10,120481.69,1,0,0,95159.977,1
3696898,835,Netherlands,Female,48,6,108736.52,1,1,0,185328.36,1
3566487,606,Luxembourg,Male,66,8,0,2,1,1,117172.83,0
3780764,739,Belgium,Female,32,2,0,2,0,0,109902.46,0
3741970,632,Netherlands,Male,32,9,123938.6,2,1,0,198910.7,0
3752959,847,Belgium,Female,36,5,180169.44,2,1,0,17507.961,0
3810584,642,Belgium,Female,67,3,0,2,1,1,43594.891,0
