movie,reviewContent,reviewDate,reviewStars,reviewHelpfulVote,reviewTotalVote
"Guillermo del Toro's Pinocchio","Guillmero del Toro's Pinocchio is a movie that was cancelled until Netflix helped him revive it. While the year already had a movie on the wooden puppet in the form of Disney's live-action remake (which I felt was nothing more than another in Disney's long line of soulless remakes meant to serve as nothing more than to milk money off nostalgia while changing stuff like making Monstro a sea monster instead of a whale and the clock scene that was done for nothing more than a cameo of Disney's other movies), and let's say the movie does a better job in its own way.

Taking a different direction, the film has Pinocchio made by Gepetto as a way to replace his late son, Carlo, who was killed in the Great War. However, he goes into various misadventures with a cricket named Sebastian, Pinocchio is put on various misadventures.

Yeah, this is a lot different than how Disney's version went, and it's for the best. However, it is not for younger kids, as given the time this adaption is set in, as well as the fact that one of the characters is Death (who is portrayed as the sister of the Wood Sprite, the one who gives Pinocchio life), it can result in scenes that can be too scary or intense for younger kids. However, it brings a new take on the classic tale, and the actors all do a good job, and the stop motion is great.","9 December 2022",10,35,58
"Guillermo del Toro's Pinocchio","Geppetto's carved and chiselled a new son, replacing Carlo who was tragically taken, made from fine Italian pine, dovetailed, screwed and fixed with twine, just imagine his surprise when he awakens; as a Wood Sprite's taken pity on this fellow, who's sorrow, grief and sadness make him bellow, taken all internal strife, the grain now imbued full of life, though he won't age, he might just season, but never grow (except for an inbuilt polygraph). A cricket helps, to make sharp edges round, untying knots that seek to limit and to bound, but there's danger in the town, someone else would like to own, it's not too long before Pinocchio's has gone; whisked away, by the unscrupulous Count Volpe, who's recognised a fortuitous, new pay day, a puppet without strings, will make his tills ka-ching and ring, with some swindling alongside a small betray.

A dark and tenebrous retelling of the tale of the wooden boy that introduces some additional tangents and places it during the turbulent times of war and conflict. Great animation, some great dialogue, only tarnished by the fact that it's a perpetually told story, and you know what familiarity invariably brings (if you're of a certain age).","11 December 2022",7,21,34
"Guillermo del Toro's Pinocchio","From the get go, this movie had everything going for it. Guillermo del Toro knows how to make a good film, and this was definitely no exception. Now I'm a fan of the 1954 Pinocchio, and I'll say right off the bat that this is not a remake! Don't be foolish and think that, because this is an adaptation of the book more than anything. This movie took some creative liberties, some really good creative liberties, in fact. The movie is set during World War II, in an Italy under Mussolini. War plays a huge role in this film, and I think Del Toro did a good job of taking the basic ideas from the original story, and expanding on them. For example, a certain island setting from the original story is not present in this film, but in its place is a genius substitute that serves practically the same kind of purpose in a way. Every character is interesting and the worlds are very dense with details. While having a dark tone, the movie also finds a way to be upbeat and charming at times. Also, the music is great, the musical songs are pleasing to the ear. Best of all, the visuals are stunning, the puppets capture emotion even though they're puppets. This movie beats Disney's remake by a long shot, and I hope it gets lots of credit for that. Watch this movie if you like the story of Pinocchio, but expect differences and a darker tone. Your kids will like it, and you will love it. 10/10 totally recommend.","20 November 2022",10,139,181
"Guillermo del Toro's Pinocchio","From the get go, this movie had everything going for it. Guillermo del Toro knows how to make a good film, and this was definitely no exception. Now I'm a fan of the 1954 Pinocchio, and I'll say right off the bat that this is not a remake! Don't be foolish and think that, because this is an adaptation of the book more than anything. This movie took some creative liberties, some really good creative liberties, in fact. The movie is set during World War II, in an Italy under Mussolini. War plays a huge role in this film, and I think Del Toro did a good job of taking the basic ideas from the original story, and expanding on them. For example, a certain island setting from the original story is not present in this film, but in its place is a genius substitute that serves practically the same kind of purpose in a way. Every character is interesting and the worlds are very dense with details. While having a dark tone, the movie also finds a way to be upbeat and charming at times. Also, the music is great, the musical songs are pleasing to the ear. Best of all, the visuals are stunning, the puppets capture emotion even though they're puppets. This movie beats Disney's remake by a long shot, and I hope it gets lots of credit for that. Watch this movie if you like the story of Pinocchio, but expect differences and a darker tone. Your kids will like it, and you will love it. 9/10 totally recommend.","13 December 2022",9,26,38
"Guillermo del Toro's Pinocchio","So confused why this has so many good reviews? I'm gonna take a guess and say because it's by Guillermo, who I absolutely adore. Shape of water and pan's Labyrinth are perfect. I even love Devil's backbone. Maybe not Crimson peak so much tho...but I normally love his movies. And you can feel his darkness in this but I think Pinocchio might be the most annoying character on screen ever. I wanted to throw him into a fire. The voice actor was bad for me. He sounded like a snotty kid screaming at his mum in Harrods. And the singing...wow.

Obviously it looks amazing. It's absolutely stunning. But the annoying character and boring story just made me so irritated.","26 December 2022",4,31,49
"Guillermo del Toro's Pinocchio","So I must be one of the very few to have never seen the Disney original although it's impossible not to mentally refer to it or think of its famous accompanying songs while watching this remake by Guillermo Del Toro.

Del Toro takes a stop-motion approach to the animation and generally adopts a much darker colour palette for his telling of the well-known story. That also goes for the much-altered narrative with the story planted firmly in between-the-wars Italy and the rise of fascism under the dictator Mussolini although it seems to me, in doing all this, that the director is alienating his younger audience.

It didn't help either that this Pinocchio is so much of a pain-in-the-proverbial when he first comes to life, with an especially irritating voice plus it has to be said, Sebastian J Cricket, by Jiminy, really doesn't register much as a presence throughout the movie.

And then there are the songs which are flat, tuneless and distinctly unmemorable. Of course, they enhance and elevate the Disney feature, but here if anything, they slow down the action. I also found the caricature portrayal of Mussolini to be just too obvious and dull.

It had some nice ideas like Pinocchio's ""Groundhog Day""-type revivals every time he dies and the epilogue is sweetly executed to at least end the film on a nice note but I have to say, on the whole, I found this modern-day take on Pinocchio to be longer than a lying nose and distinctly wooden, into the bargain.","24 December 2022",5,19,33
"Guillermo del Toro's Pinocchio","In 1940, Walt Disney released an animated film based on the Italian fable of a wooden boy who came to life, called Pinocchio this version, by many, was considered the definitive version of the. Henceforth, whenever people think of Pinocchio, you then inevitably think of Disney.

I, myself, have never been a fan of Disney's interpretation of the film, it always felt too childish and messy to me, as well as all the racial stereotypes, however, I found the basic story fascinating, with its moral dilemmas and vague veil of horror encompassing the narrative. So, imagine my anticipation when Netflix announce a new adaption of the Pinocchio story, done in possibly my favourite animation style (stop-motion) and by a masterful filmmaker, Guillermo del Toro, whose gothic sensibilities shone in 'Pan's Labyrinth'.

So, it's 2022, the film has released, and, it somehow managed to better than my expectations.

The story, largely follows what you'd expect, but with a couple notable changes: it is set in fascist Italy, it is more spiritual and it is more philosophical. There are a couple more changes, but I don't won't to spoil them here.

The film from the offset is darker and more mature than the Disney original, encompassing themes of war and death within the first ten minuets. It also uses its titular character as a 'puppet' to convey humanity's worst and best impulses, which albeit, the Disney original did too, but in a more 'after-school' way, chiselling down its moral core to a nub of simply 'don't lie' or 'don't get addicted to vices', whereas GDT's version poses more questions than moral lessons.

GDT's version also feels equally more realistic and more fantastical, blending the two seamlessly, and, despite, his change in medium, it still feels and particularly bleeds GDT's style, feeling pulpy and gothic, while retaining its PG family rating.

Del Toro and McHale's writing elevates the story to new heights, the character writing feels very reminiscent of McHale's previous, the masterpiece that is the TV mini-series 'Over the Garden Wall', as each character feels loving crafted to be fully three dimensional, Pinocchio himself feeling incredibly reminiscent of Greg from that very series. However, the scene stealing character is Sebastian J. Cricket, voiced by Ewan McGregor, who, is this version's Jimminy Cricket, fittingly, unlike his predecessor, Sebastian is, at the beginning at least, a somewhat misanthropic writer, focused on writing his memoirs, as opposed to the generally high-sported Jimminy. McGregor's performance here is great, giving a wry delivery to the jokes with an unexpired sense of vigour, delivering some of the film's funniest and saddest lines. David Bradley is another stand-out, bringing life to a sadder Gepetto.

The animation here is simply breathtaking, with puppets from The Jim Henson Company, Del Toro and Gustafson bring the world to life with their intricate and delicate stop-motion and well-placed CG, everything here is tightly framed with a blazing level of artistry and elegance, brought together by stunning cinematography, it feels like two auteurs at their peak. Crisp and efficient editing ties the whole thing up brilliantly too.

The score is provided by the legendary Alexandre Desplat, with a couple of songs too, the score is exquisite, but the songs are the only element that feel like they should have had more time in the oven, other than two, 'Ciao, Papa' and Sebastian's Ending Melody, the rest feel a tad pointless, not bad, but slightly unnecessary.

Overall, Del Toro's Pinocchio is a staggering cinematic achievement pushing boundaries in craftsmanship for both live action and animation, with an intelligent script that honours and diverts form its origins that explores every theme it sets out superbly, making it the definitive version of the fable for me, firmly pushing Disney's vision out of mind. Easily, one of the year's very best, animated or otherwise.","10 December 2022",10,41,63
"Guillermo del Toro's Pinocchio","This dark version of the Pinocchio story is exquisitely crafted. Del Toro's vision of a fascist Italy is richly detailed and filled with powerful imagery. The story is deeply moving as Pinocchio, voiced by David Bradley, struggles to stay true to his father Gepetto's wishes while also trying to find his path in life.

The animation style is unique for a del Toro film, blending elements from his other works to create something entirely new. The colours and visuals are stunning, giving justice to the grim world of 1940s Italy.

The characters are distinct and memorable, each brought to life with the help of excellent vocal performances. While Gepetto and Pinocchio take centre stage, their relationship is the true star of the film. The relationship between this father and son is both heart-warming and heartbreaking as Pinocchio wrestles with his conscience and emotions.

The music also adds to the atmosphere, creating an additional layer of emotion that helps bring the story together.

GUILLERMO DEL TORO'S PINOCCHIO is a remarkable piece of art that captures the horrors of fascism and celebrates the bond between father and son. The animation, music, and storytelling are all top-notch, making this an unforgettable cinematic experience. Highly recommended! (NOTE: Parents, take care. This might not be the most suitable movie for young children.)","1 December 2022",8,41,67
"Guillermo del Toro's Pinocchio","Pinocchio is a beautiful film that offers a fresh and unique perspective on the classical fairytale, its characters, and the world. With Guillermo del Toro's signature style and a somewhat gloomy tone, it explores deep themes and adds a lot to the story of Pinocchio.

This is another masterpiece in the collection of Toro's films that charms with its visuals. The production design is stunning, while the stop-motion style adds to the overall atmosphere and enhances the unique feeling of the film. The music is beautiful, and the songs feel just in place without distracting from the story.

It is one of the best animated films of this year and is definitely worth watching!","21 November 2022",10,105,146
"Guillermo del Toro's Pinocchio","Guillermo del Toro brings his trademark weirdness and new life to the classic tale of Pinocchio. I could not have admired the spectacular stop-motion animation anymore than I did on my first viewing. Every scene looks like a work of art in its set design and detailed characters. The story is astonishingly more expansive here as well, including the story of Gepetto's original son, Carlo, much more focus on the carnies who capture Pinocchio, and a look into the afterlife. Del Toro also tells a cautionary tale against fascism in place of the notorious boys-turning-to-donkeys scene (the joke being the fascists are a**es). While I enjoyed all of these new elements to the story and the phenomenal animation, I was left underwhelmed by the music. I think this movie is thrilling for kids (especially those 10-14 years old) and I would re-watch this again.","12 December 2022",6,11,16
"Guillermo del Toro's Pinocchio","Del Toro has created an incredible film! I personally don't feel this is a film for very young children due to the backdrop of Muccilini's fascist Italy. That said,, its not because it is any more violent than a Disney cartoon,, its just far more intelligent and must of the relevance would be missed..
The animation is flawless stop action. Every scene is a work of art and complimented by the charactors' design and seamless movements. Charactor voices are well matched to their charactors. The screenplay is well done, easily followed while still impressive and enjoyable. I couldn't believe parts of the story had me on the edge of my seat. The limited music was ok but unnecessary in my opinion. This film will grab you very quickly. A masterpiece.","19 November 2022",10,63,105
"Guillermo del Toro's Pinocchio","4* out of 10*

After watching GDT's latest work ""Pinocchio"" I went online to see if people were as disappointed as I was. Surprisingly, I couldn't find a single professional review that didn't applaud the film as a wonderful masterpiece. If movie critics don't have the balls to say it, I will: GDT has lost his mojo. What started to show in the mediocre and over-hyped Shape of Water and became even more apparent in the over-long and lacklustre Nightmare Alley is obvious after Pinocchio: GDT is not a very talented storyteller - and subtlety is NOT his strong suit. None of the two mentioned earlier films caught me on an emotional level and Pinocchio also completely failed to do so. It felt a bit like it's main character: wooden and without a true heart.

The film might look brilliant on a technical level but even the optical surface lacks heart. I was surprised that supposedly this was all stop-motion, because it felt like CGI all the way. I don't know what it was exactly but the film simply looks too perfect. The characters and scenery never come across like puppets, everything feels animated. Even if they put in years of handy work, I am sure they glossed over all the frames digitally and enhanced the images.

The first twenty minutes of the film were great and showed GDT's potential. However, as soon as Pinocchio showed up, it all went down the drain. If the film's biggest weakness is its main character, you have a problem. I did not like the design and looks of Pinocchio, at all. He looks creepy. Plus, the dude is a completely obnoxious jack-ass who is super-annoying. His voice was particularly bothersome. How are we supposed to root for him? I knew it was over when he started to sing his first song and my ears started bleeding. That song made absolutely no sense. Pino knows perfect English and knows all the words, until he doesn't when the song need him to.

Why was this a musical anyway? Every single song was terrible and the lyrics were so bad. The music added nothing to the narrative but catapulted me right out of the film, as I had to resist the urge to fast forward whenever they started singing.

The film generally drags a lot and could and should have easily been cut about 30 minutes. It struggles to find its tone and therefore its audience. Is it aimed at children? Too dark and all over the place. At adults? Not really dark and emotional enough and too childish.

Another major flaw is the over-bloated, weak script. The story is messy and all over the place. GDT shoves so many narrative threads and sceneries into the film that it completely loses fo-cus and fails to tell a cohesive story. There is the church theme, the carnival, the war camp (?), the Mussolini thread, the fish monster part, the other-world-hell narrative - it's just too much. All these disjointed scenes sure try to bring across a message. And they do so VERY heavy-handed. As I said, subtlety is not GDT strong suit. For example, we all know that war is horrifying and fascism is evil. However, both these topics were handled way better in GDT's early (and ONLY) masterpiece Pan's Labyrinth. This time around, he just crams these things into the film without saying anything new about them. He just shows them and spells them out. The terror of Mussolini's fascist regime is never felt.

Unfortunately, everything is literally spelled out in this film. Be who you are, don't try to be someone else. Don't project your dead son into a puppet. Religion is dumb. War is terrible. Let go, don't lose yourself in grief. Immortality is worse than dying. Lying is bad but sometimes, when it gets you somewhere, it's fine (??).

One gets the impression that either, GDT doesn't truly care about his messages or he simply doesn't have the narrative capacity to convey them in a convincing manner. He kind of picks them up, looks at them, briefly shows them to us and then drops them to pick up the next shiny idea he finds on the ground. For the viewers, this is unsatisfying and left me feeling stale.

One cannot help but have the impression that GDT only truly cares about himself and showing off all he has accomplished while neglecting careful story-telling. This can best be seen by the fact, that he puts his name in front of the movie title. A thing, film-makers typically do once they are past their prime. GDT marvels in the glory of his own name and the technical flex of the animation. This hubris culminates in the casting of friggin Cate Blanchett - only to have her voice a darn monkey without a single word of dialogue.

The Scottish cricket voiced by McGregor is tasked with watching over Pinocchio and providing him moral guidance to become a good boy, which is set-up big time in the beginning. I have never seen a character fail more miserably at their quest. He does not once guide the guy or even speak to him much during the film, for that matter. In the end, he goes like ""Yeah, I did my best, that's all you can ask of me."" and is granted his one wish.

I did like Mr. Filch as Geppetto, though, he did a fantastic job! Swinton and Pearlman did al-right, too.

All in all, a pretty big disappointment.","23 December 2022",4,45,77
"Guillermo del Toro's Pinocchio","I will be in the minority with this; as a piece of stop motion art, it is lovely to see, but I found it lacking somehow; it is not quite a children's film, but the conveniences of the plot seem contrived and out of sync with an adult tail. Indeed it is in a different realm to the inferior Disney remake, but it isn't better, in story or art form than the 1940 Pinocchio Disney animation. The voice of Pinochle was a bit condescending; the original film had the benefit of being watchable by the whole family and contained a dark core that gave some moral teaching. Like the Disney remake, this film shows that lying can get you out of trouble, so what is that supposed to be telling any young viewers? I found the ending very touching. When I was 10, I started to read the book, which is undoubtedly a dark tale; I would rather rewatch the original story.","11 December 2022",5,27,53
"Guillermo del Toro's Pinocchio","Surprisingly, this is the first form of Pinocchio that have been exposed to. I likely saw the original Disney Pinocchio but I was too young to remember. This version is a far more mature telling of the story, with an all-star cast and gorgeous animation.

This film's animation has had so much effort and care put into it. The models are glorious and expressive, the environments beautifully realised and the imagery is exquisite. Guillermo Del Toro continues to excel with his direction. The voice acting is also top notch especially David Bradley as Geppetto. This movie is as much about him as it is about Pinocchio. The movie deals with themes of loss, grief and the struggle to move on extremely well and the more mature moments are balanced with some good humour. The soundtrack is also superb although some of the songs have some clear uses of autotune.

The characters are all equally memorable. As said earlier, Geppetto is the highlight but Gregory Mann wonderfully portrays Pinocchio and his dialogue is child-like yet brilliant. Christoph Waltz also shines as the abusive Count Volpe and he is a perfect antagonist. However, the weakest part of the story is the fascist element. While it is mostly executed well, I feel the arc for Candlewick, played by Finn Wolfhard, felt as if it was not fully developed. His defining moment just doesn't have as much weight behind it. Despite this, the film still hits hard in its emotional moments, almost bringing me to tears.

Overall, Guillermo Del Toro's Pinocchio is fantastic and one of the best animated films that I have seen recently. The animation is gorgeous, voice acting superb and the soundtrack wonderful. It is well-worth watching and it might be my favourite film from Guillermo Del Toro.","1 January 2023",9,3,3
"Guillermo del Toro's Pinocchio","If you enjoy reading my Spoiler-Free thoughts, please follow my blog to read my full review :)

""Pinocchio retells the famous tale of the wooden puppet through visually lovely stop-motion animation, featuring several bold narrative changes that make this remake more human, emotional, and thematically profound than so many other adaptations.

Unforgettable dialogues about loss, love, and being the best version of ourselves elevate an adventure of self-discovery. The voice cast couldn't have been better, while the (new) music manages to be both playful and lyrically rich.

Guillermo del Toro simply cannot fail.""

Rating: B+","7 December 2022",8,16,35
"Guillermo del Toro's Pinocchio","Guillermo del Toro's Pinocchio (2022) :
Brief Review -

There have been remakes of many timeless tales, but none of them modernised the original work like this. I have lived 10 years of my movie buff life with the personal opinion that Guillermo del Toro is one of the most overrated directors of our time. Be it ""Pan's Labyrinth"" (2006), ""Pacific Rim"" (2013), ""The Shape of Water"" (2017), or ""Nightmare Alley"" (2021), those all have been nothing more than a one-time watchable flick for me. Maybe I need to change that opinion now. Disney's groundbreaking animated flick, ""Pinocchio"" (1940), unveiled the world of the Italian novel ""The Adventures of Pinocchio"" on the silver screen with pathbreaking visuals and techniques, and that's why it has lived for years and continues to live even today. It will be loved for many years to come, but I think people will also consider Guillermo del Toro's remake with it. 5 has not only managed to pull off an honest remake, but he has given it an extension and a modern version that expands its legacy. It is more like an adaptation than a remake because there are so many changes in the script, and all of them are so beautiful. Guillermo starts off by telling the story of Geppetto and his son, which no other film did. Then he gets into Pinocchio and the world war zone, leaving you with a little flavour of Michael Curtiz's classic musical, ""Yankee Doodle Dandy"" (1942). It's a long film-2 hours precisely-for valid reasons. You see Pinocchio's death, again something new and unique; Cricket's arguments; two angel sisters; the monkey's change of heart; and then there is a fulfilling climax that takes you beyond the happy ending you saw in the 1940 animated film. A big thank you to Guillermo del Toro and Mark Gustafson for delivering an extended version of a timeless tale that none of us predicted to be so modern and philosophical. The current social media generation has something to preserve from Pinocchio's World and a lot to learn. Give it a watch, but first see the original to understand why you have more to enjoy this time.

RATING - 7/10*

By - #samthebestest.","15 December 2022",7,5,9
