sex,maritalstatus,age,education,income,occupation,city
male,single,47,high school,45000,official duties,mid city
female,non-single,24,high school,28000,unemployed,small city
female,non-single,58,university,33000,unemployed,small city
male,single,52,high school,31000,unemployed,small city
female,non-single,29,high school,45000,management,mid city
female,non-single,27,high school,37000,official duties,big city
male,single,47,high school,80000,official duties,mid city
male,single,30,unknown,50000,management,big city
male,single,28,unknown,31000,official duties,big city
male,single,56,high school,37000,official duties,mid city
male,single,54,high school,39000,official duties,mid city
female,non-single,33,high school,24000,unemployed,small city
male,single,20,unknown,43000,official duties,mid city
male,single,54,high school,55000,official duties,big city
male,single,58,university,89000,official duties,mid city
female,non-single,61,university,45000,official duties,mid city
male,single,34,high school,45000,official duties,big city
male,single,36,high school,40000,official duties,mid city
male,single,36,high school,65000,management,big city
male,non-single,41,high school,31000,unemployed,small city
male,single,24,unknown,37000,official duties,small city
female,non-single,24,high school,32000,official duties,mid city
male,single,35,high school,38000,official duties,mid city
male,non-single,26,high school,36000,official duties,mid city
male,single,39,high school,82000,management,big city
male,single,39,high school,61000,management,big city
male,single,32,unknown,51000,official duties,big city
female,non-single,30,high school,55000,official duties,small city
male,non-single,35,high school,47000,official duties,small city
male,non-single,31,high school,41000,official duties,mid city
female,non-single,23,high school,36000,official duties,mid city
male,single,28,unknown,40000,unemployed,big city
female,non-single,25,high school,54000,official duties,small city
male,non-single,35,high school,45000,official duties,mid city
male,single,47,high school,44000,official duties,mid city
female,non-single,30,high school,63000,management,small city
female,non-single,27,high school,36000,official duties,big city
female,non-single,23,high school,51000,official duties,mid city
male,non-single,36,high school,60000,management,mid city
female,non-single,25,high school,35000,official duties,big city
female,non-single,41,university,56000,management,big city
male,single,24,unknown,22000,unemployed,small city
male,single,63,university,45000,official duties,small city
female,non-single,27,high school,39000,official duties,big city
male,single,30,unknown,35000,official duties,mid city
male,non-single,40,high school,24000,unemployed,small city
male,single,30,unknown,33000,official duties,big city
male,single,34,high school,48000,management,big city
female,non-single,29,high school,41000,official duties,small city
female,non-single,24,high school,59000,official duties,big city
male,single,29,unknown,50000,official duties,big city
male,single,27,unknown,26000,unemployed,small city
male,single,47,high school,39000,official duties,mid city
female,non-single,21,high school,65000,official duties,small city
female,non-single,38,high school,36000,official duties,big city
male,single,27,unknown,68000,official duties,big city
male,single,66,university,42000,unemployed,small city
male,single,35,high school,41000,official duties,mid city
female,non-single,44,university,36000,unemployed,small city
male,non-single,27,high school,30000,unemployed,small city
female,non-single,30,high school,59000,management,mid city
male,single,27,unknown,48000,management,big city
male,single,22,unknown,34000,official duties,mid city
female,non-single,23,high school,36000,official duties,big city
male,single,30,unknown,47000,official duties,mid city
female,non-single,39,university,35000,official duties,small city
female,non-single,51,university,43000,official duties,small city
male,single,28,unknown,45000,official duties,mid city
male,single,46,high school,51000,official duties,big city
male,single,42,high school,40000,official duties,small city
male,single,38,high school,36000,official duties,big city
male,single,24,unknown,51000,official duties,mid city
female,non-single,29,high school,71000,official duties,big city
male,single,36,high school,69000,management,big city
female,non-single,20,high school,32000,official duties,mid city
male,single,48,high school,41000,official duties,mid city
male,non-single,45,university,24000,unemployed,small city
male,single,38,high school,49000,official duties,big city
male,single,34,high school,25000,unemployed,small city
male,single,36,high school,43000,official duties,mid city
female,non-single,30,high school,34000,official duties,mid city
male,single,36,high school,43000,official duties,big city
male,single,70,university,75000,management,big city
male,single,36,high school,41000,official duties,big city
male,single,32,unknown,47000,official duties,mid city
female,non-single,33,high school,35000,official duties,big city
female,non-single,20,high school,49000,official duties,big city
female,non-single,25,high school,42000,official duties,mid city
male,non-single,31,high school,38000,official duties,big city
male,single,33,high school,32000,official duties,small city
female,non-single,26,high school,32000,official duties,mid city
female,non-single,34,high school,51000,management,big city
male,single,33,high school,36000,official duties,small city
male,single,26,unknown,38000,official duties,mid city
female,non-single,53,university,70000,management,small city
male,non-single,42,university,40000,official duties,small city
male,single,52,high school,44000,official duties,big city
male,single,31,unknown,45000,management,mid city
male,single,65,university,39000,official duties,small city
male,non-single,28,high school,59000,official duties,big city
male,non-single,30,high school,56000,management,mid city
male,single,40,high school,26000,unemployed,small city
male,single,50,high school,59000,official duties,big city
male,single,36,high school,35000,official duties,mid city
male,single,31,unknown,33000,official duties,mid city
female,non-single,74,graduate,71000,management,mid city
male,single,68,university,25000,unemployed,small city
male,non-single,20,high school,33000,official duties,small city
female,non-single,33,high school,45000,official duties,mid city
male,single,54,high school,73000,management,big city
male,single,34,high school,39000,unemployed,small city
male,single,36,high school,45000,official duties,big city
male,non-single,29,high school,35000,official duties,mid city
male,single,21,unknown,43000,official duties,big city
female,non-single,34,high school,49000,management,big city
female,non-single,28,high school,34000,official duties,small city
female,non-single,27,high school,40000,official duties,small city
male,single,36,high school,41000,official duties,big city
male,non-single,40,high school,58000,management,mid city
male,single,52,high school,46000,official duties,small city
male,non-single,27,high school,22000,unemployed,small city
male,single,26,unknown,43000,official duties,mid city
male,non-single,21,high school,29000,official duties,mid city
male,single,38,high school,25000,unemployed,small city
male,single,38,high school,74000,management,big city
male,single,43,high school,38000,official duties,small city
male,single,26,unknown,34000,official duties,big city
male,non-single,21,high school,38000,unemployed,small city
male,single,55,high school,53000,official duties,big city
male,single,33,high school,39000,official duties,big city
female,non-single,45,university,37000,unemployed,small city
male,single,50,high school,50000,official duties,mid city
male,single,66,university,60000,management,small city
male,single,51,high school,44000,official duties,small city
female,non-single,39,university,29000,unemployed,small city
male,single,31,unknown,38000,official duties,big city
male,single,23,unknown,45000,official duties,mid city
male,non-single,24,high school,27000,unemployed,small city
female,non-single,64,graduate,44000,official duties,small city
male,non-single,26,high school,23000,unemployed,small city
female,non-single,23,high school,32000,official duties,mid city
male,single,30,unknown,30000,official duties,big city
male,single,32,unknown,38000,official duties,mid city
male,single,30,unknown,43000,official duties,mid city
male,single,27,unknown,36000,official duties,mid city
male,single,27,unknown,79000,official duties,mid city
male,single,53,high school,69000,management,mid city
male,single,22,unknown,31000,official duties,mid city
male,single,22,unknown,36000,official duties,big city
male,single,26,unknown,46000,official duties,big city
male,single,51,high school,41000,unemployed,small city
male,single,35,high school,41000,official duties,small city
male,non-single,25,high school,23000,unemployed,small city
male,single,42,high school,26000,unemployed,small city
male,single,30,unknown,44000,management,small city
male,single,23,unknown,56000,unemployed,big city
male,non-single,61,university,44000,unemployed,small city
female,non-single,35,high school,36000,official duties,mid city
male,single,39,high school,38000,official duties,mid city
female,non-single,29,high school,33000,official duties,small city
male,single,51,high school,39000,official duties,mid city
male,single,24,unknown,41000,official duties,mid city
female,non-single,27,high school,33000,official duties,small city
female,non-single,35,high school,42000,unemployed,small city
male,single,25,unknown,31000,official duties,big city
male,single,52,high school,36000,official duties,big city
male,single,35,high school,38000,official duties,small city
male,single,26,unknown,39000,official duties,mid city
female,non-single,22,high school,30000,official duties,big city
female,non-single,39,university,38000,unemployed,small city
female,non-single,46,university,38000,unemployed,small city
female,non-single,24,high school,39000,official duties,mid city
male,single,35,high school,47000,official duties,big city
male,single,24,unknown,36000,official duties,mid city
male,single,27,unknown,44000,unemployed,small city
male,single,35,high school,28000,unemployed,small city
male,non-single,29,high school,36000,official duties,big city
female,non-single,23,high school,45000,official duties,mid city
female,non-single,57,university,36000,unemployed,small city
male,single,27,unknown,32000,official duties,mid city
female,non-single,55,university,42000,official duties,big city
male,single,36,high school,57000,management,mid city
female,non-single,57,university,36000,unemployed,small city
male,single,32,unknown,22000,unemployed,small city
male,single,37,high school,35000,official duties,small city
male,single,36,high school,50000,official duties,small city
female,non-single,38,high school,37000,official duties,small city
male,non-single,45,university,72000,management,big city
male,single,25,unknown,30000,official duties,mid city
male,single,32,unknown,37000,official duties,big city
female,non-single,37,high school,46000,official duties,mid city
male,single,36,high school,82000,management,big city
male,single,28,unknown,40000,official duties,mid city
male,non-single,34,high school,58000,unemployed,small city
male,single,32,unknown,37000,official duties,mid city
female,non-single,26,high school,37000,official duties,small city
male,non-single,49,university,28000,unemployed,small city
female,non-single,32,high school,46000,official duties,big city
male,single,29,unknown,48000,management,big city
male,single,23,unknown,50000,official duties,mid city
male,single,50,high school,38000,official duties,mid city
male,single,49,high school,34000,unemployed,small city
male,single,63,university,42000,official duties,big city
male,non-single,37,high school,51000,official duties,big city
female,non-single,35,high school,56000,unemployed,mid city
male,single,26,unknown,42000,official duties,big city
male,single,31,unknown,70000,management,big city
female,non-single,49,university,42000,official duties,mid city
male,non-single,48,university,37000,official duties,mid city
male,non-single,26,high school,31000,official duties,small city
male,non-single,28,high school,72000,management,mid city
female,non-single,44,university,65000,management,mid city
male,single,56,high school,56000,official duties,mid city
male,non-single,46,university,68000,management,mid city
female,non-single,26,high school,64000,official duties,big city
female,non-single,20,high school,43000,official duties,big city
male,single,45,high school,26000,unemployed,small city
male,single,43,high school,39000,official duties,mid city
male,single,32,unknown,54000,official duties,big city
female,non-single,54,university,19000,unemployed,small city
female,non-single,42,university,49000,official duties,mid city
male,single,37,high school,30000,unemployed,small city
male,single,49,high school,36000,official duties,small city
male,single,44,high school,73000,official duties,small city
male,non-single,33,high school,48000,official duties,mid city
female,non-single,24,high school,34000,unemployed,small city
male,non-single,33,high school,27000,unemployed,small city
female,non-single,24,high school,36000,official duties,big city
male,non-single,22,high school,21000,unemployed,small city
male,single,40,high school,31000,unemployed,small city
male,single,25,unknown,49000,official duties,small city
female,non-single,26,high school,47000,official duties,mid city
male,non-single,25,high school,23000,unemployed,small city
male,single,29,unknown,28000,unemployed,small city
male,single,31,unknown,37000,official duties,big city
male,single,38,high school,22000,unemployed,small city
female,non-single,48,university,42000,unemployed,small city
male,single,32,unknown,31000,official duties,big city
female,non-single,27,high school,31000,unemployed,small city
male,non-single,28,high school,55000,management,small city
male,non-single,32,high school,36000,official duties,small city
male,single,34,high school,48000,management,small city
male,single,28,unknown,49000,official duties,small city
female,non-single,36,high school,35000,official duties,big city
male,single,39,high school,31000,unemployed,small city
male,single,49,high school,52000,official duties,big city
female,non-single,34,high school,50000,official duties,big city
male,single,31,unknown,49000,official duties,mid city
male,single,28,unknown,34000,official duties,big city
male,single,75,university,71000,management,mid city
female,non-single,30,high school,41000,official duties,small city
female,non-single,24,high school,70000,management,mid city
female,non-single,24,high school,60000,unemployed,small city
male,single,23,unknown,39000,official duties,mid city
male,non-single,44,university,54000,management,mid city
female,non-single,23,high school,28000,unemployed,small city
female,non-single,24,high school,33000,official duties,big city
male,single,28,unknown,41000,official duties,big city
male,non-single,31,high school,27000,unemployed,small city
female,non-single,24,high school,50000,official duties,mid city
female,non-single,26,high school,31000,unemployed,small city
male,non-single,25,high school,50000,official duties,big city
male,single,33,high school,56000,management,mid city
male,single,37,high school,38000,unemployed,small city
female,non-single,43,university,28000,unemployed,small city
male,single,23,unknown,32000,official duties,big city
female,non-single,23,high school,33000,unemployed,small city
male,single,34,high school,29000,unemployed,small city
male,single,32,unknown,49000,official duties,mid city
female,non-single,23,high school,32000,official duties,small city
female,non-single,29,high school,36000,official duties,big city
male,single,38,high school,50000,management,mid city
male,single,28,unknown,47000,official duties,mid city
male,single,46,high school,44000,official duties,big city
male,single,23,unknown,23000,unemployed,small city
male,single,49,high school,40000,official duties,big city
male,single,26,unknown,51000,management,big city
male,non-single,28,high school,31000,official duties,small city
female,non-single,23,high school,36000,official duties,big city
male,single,61,university,43000,official duties,big city
male,single,37,high school,57000,management,small city
female,non-single,36,high school,45000,official duties,mid city
male,non-single,21,high school,32000,official duties,big city
male,single,25,unknown,15000,unemployed,small city
male,single,36,high school,35000,official duties,small city
male,single,27,unknown,39000,official duties,mid city
female,non-single,22,high school,40000,official duties,big city
male,single,42,high school,42000,official duties,mid city
female,non-single,40,university,46000,official duties,big city
male,single,36,high school,39000,official duties,mid city
male,single,33,high school,48000,official duties,mid city
female,non-single,23,high school,35000,official duties,small city
male,single,63,university,91000,management,big city
female,non-single,60,university,103000,management,big city
female,non-single,37,high school,57000,official duties,mid city
male,non-single,34,high school,37000,official duties,small city
male,single,36,high school,32000,official duties,mid city
male,single,57,university,94000,management,mid city
female,non-single,52,university,32000,unemployed,small city
male,single,39,high school,37000,official duties,big city
female,non-single,38,high school,87000,management,big city
female,non-single,25,high school,33000,official duties,small city
male,single,26,unknown,37000,official duties,big city
male,single,26,unknown,35000,unemployed,small city
female,non-single,25,high school,36000,official duties,small city
female,non-single,21,high school,32000,official duties,mid city
male,single,40,high school,67000,management,mid city
male,single,27,unknown,47000,official duties,big city
female,non-single,27,high school,34000,official duties,mid city
male,non-single,30,high school,45000,management,big city
female,non-single,19,high school,37000,unemployed,small city
male,single,39,high school,51000,management,mid city
female,non-single,31,high school,37000,official duties,big city
male,single,31,unknown,46000,management,big city
male,single,32,unknown,74000,official duties,big city
female,non-single,55,university,55000,management,big city
male,non-single,46,university,41000,official duties,small city
male,non-single,46,university,40000,official duties,small city
female,non-single,43,university,42000,unemployed,small city
male,non-single,39,high school,36000,official duties,big city
male,non-single,28,high school,38000,official duties,mid city
male,single,27,unknown,55000,official duties,mid city
male,single,27,unknown,20000,unemployed,small city
male,single,43,high school,44000,official duties,small city
male,non-single,22,high school,36000,official duties,small city
male,single,43,high school,38000,official duties,mid city
male,non-single,27,high school,32000,official duties,big city
male,non-single,26,high school,57000,management,small city
male,non-single,28,high school,46000,official duties,big city
female,non-single,20,high school,37000,official duties,mid city
male,single,35,high school,63000,management,big city
male,single,42,high school,49000,management,small city
male,single,40,high school,35000,unemployed,small city
female,non-single,35,high school,36000,official duties,mid city
male,single,35,high school,48000,official duties,big city
male,single,33,high school,27000,unemployed,small city
female,non-single,23,high school,56000,official duties,mid city
female,non-single,31,high school,59000,management,mid city
female,non-single,33,high school,37000,official duties,mid city
female,non-single,20,high school,51000,official duties,big city
male,single,30,unknown,37000,official duties,mid city
male,single,47,high school,29000,unemployed,small city
male,single,34,high school,49000,management,big city
female,non-single,25,high school,41000,official duties,big city
male,non-single,21,high school,38000,official duties,big city
male,single,29,unknown,36000,official duties,small city
male,single,46,high school,49000,official duties,big city
male,single,20,unknown,30000,official duties,mid city
female,non-single,55,university,21000,unemployed,small city
male,single,74,university,41000,unemployed,small city
male,single,29,unknown,77000,management,big city
male,single,36,high school,46000,management,big city
male,non-single,33,high school,36000,official duties,small city
male,single,25,unknown,33000,official duties,big city
male,non-single,25,high school,35000,official duties,small city
male,non-single,23,high school,28000,unemployed,small city
female,non-single,37,high school,50000,official duties,mid city
male,single,65,university,28000,unemployed,small city
female,non-single,26,high school,17000,unemployed,small city
male,single,39,high school,46000,management,mid city
female,non-single,30,high school,36000,official duties,mid city
male,single,29,unknown,39000,official duties,big city
male,single,41,high school,23000,unemployed,small city
female,non-single,30,high school,60000,management,big city
female,non-single,41,university,27000,unemployed,small city
female,non-single,34,high school,37000,official duties,mid city
male,single,35,high school,41000,official duties,small city
female,non-single,55,university,58000,management,big city
male,non-single,61,university,59000,official duties,mid city
male,single,30,unknown,73000,management,big city
female,non-single,29,high school,32000,official duties,mid city
male,single,34,high school,38000,official duties,mid city
male,single,35,high school,48000,management,big city
male,single,31,unknown,44000,official duties,big city
female,non-single,29,high school,49000,management,big city
male,single,36,high school,42000,official duties,mid city
male,single,35,high school,40000,official duties,small city
female,non-single,27,high school,31000,official duties,big city
male,single,32,unknown,43000,official duties,big city
male,single,37,high school,41000,official duties,big city
male,single,36,high school,35000,official duties,mid city
female,non-single,34,high school,54000,management,small city
male,single,38,high school,36000,official duties,big city
male,single,34,high school,35000,official duties,big city
male,single,63,university,46000,official duties,mid city
female,non-single,29,high school,25000,unemployed,small city
male,single,32,unknown,52000,official duties,mid city
female,non-single,26,high school,38000,official duties,mid city
male,single,35,high school,34000,unemployed,small city
male,non-single,22,high school,44000,official duties,small city
female,non-single,23,high school,30000,official duties,big city
male,single,28,unknown,20000,unemployed,small city
male,single,36,high school,44000,management,big city
male,non-single,33,high school,37000,official duties,small city
female,non-single,26,high school,39000,official duties,big city
male,single,24,unknown,44000,official duties,small city
male,single,25,unknown,49000,official duties,big city
male,single,39,high school,31000,unemployed,small city
male,single,44,high school,36000,official duties,mid city
female,non-single,23,high school,33000,unemployed,small city
male,single,26,unknown,34000,official duties,small city
female,non-single,57,university,63000,official duties,mid city
female,non-single,30,high school,47000,official duties,small city
male,single,44,high school,44000,official duties,big city
male,single,47,high school,49000,management,big city
male,single,52,high school,44000,official duties,big city
female,non-single,62,university,51000,official duties,big city
male,single,35,high school,28000,unemployed,small city
male,single,26,unknown,38000,official duties,mid city
male,single,26,unknown,33000,official duties,mid city
female,non-single,42,university,73000,management,big city
female,non-single,27,high school,38000,official duties,small city
male,single,38,high school,34000,official duties,small city
male,single,39,high school,27000,unemployed,small city
male,non-single,20,high school,36000,official duties,big city
male,single,29,unknown,74000,management,big city
male,single,40,high school,36000,official duties,small city
male,non-single,32,high school,27000,unemployed,small city
male,non-single,28,high school,43000,official duties,small city
female,non-single,27,high school,40000,official duties,mid city
male,single,42,high school,49000,official duties,mid city
male,non-single,49,university,48000,official duties,big city
male,single,38,high school,41000,official duties,small city
female,non-single,24,high school,33000,official duties,small city
male,single,27,unknown,21000,unemployed,small city
male,single,36,high school,52000,official duties,big city
male,single,34,high school,68000,management,big city
male,non-single,28,high school,33000,official duties,big city
male,single,45,high school,74000,management,big city
male,single,26,unknown,29000,official duties,big city
male,single,32,unknown,54000,management,big city
male,single,26,unknown,42000,official duties,big city
male,non-single,20,high school,31000,official duties,small city
male,single,54,high school,42000,official duties,small city
female,non-single,37,high school,34000,official duties,small city
male,single,40,high school,25000,unemployed,small city
female,non-single,23,high school,51000,official duties,mid city
male,single,43,high school,40000,official duties,big city
male,single,36,high school,32000,official duties,big city
male,single,44,high school,49000,official duties,big city
female,non-single,24,high school,39000,official duties,mid city
male,single,53,high school,57000,official duties,mid city
female,non-single,23,high school,44000,official duties,mid city
female,non-single,26,high school,26000,unemployed,small city
male,single,30,unknown,56000,official duties,big city
female,non-single,31,high school,40000,official duties,small city
male,single,42,high school,26000,unemployed,small city
male,non-single,31,high school,37000,official duties,mid city
male,single,41,high school,23000,unemployed,small city
male,single,32,unknown,39000,official duties,small city
female,non-single,28,high school,46000,official duties,mid city
male,non-single,41,high school,37000,official duties,small city
male,non-single,26,high school,37000,official duties,mid city
male,single,25,unknown,37000,official duties,big city
male,non-single,33,high school,43000,official duties,mid city
female,non-single,75,graduate,57000,management,mid city
female,non-single,37,high school,47000,official duties,mid city
male,single,42,high school,66000,management,big city
female,non-single,45,university,40000,unemployed,small city
male,non-single,23,high school,35000,official duties,mid city
male,single,60,university,42000,official duties,small city
male,single,31,unknown,49000,official duties,small city
male,single,34,high school,34000,unemployed,mid city
male,single,61,university,30000,unemployed,small city
male,single,43,high school,36000,official duties,mid city
female,non-single,37,high school,39000,official duties,big city
male,single,32,unknown,33000,official duties,big city
female,non-single,24,high school,21000,unemployed,small city
male,single,35,high school,58000,official duties,mid city
female,non-single,23,high school,32000,official duties,mid city
male,single,45,high school,37000,unemployed,small city
male,non-single,34,high school,52000,official duties,small city
male,single,27,unknown,41000,official duties,big city
female,non-single,67,graduate,57000,management,small city
male,single,22,unknown,33000,official duties,small city
female,non-single,28,high school,45000,official duties,big city
female,non-single,29,high school,46000,official duties,big city
male,single,27,unknown,39000,official duties,small city
male,single,31,unknown,27000,unemployed,small city
male,single,49,high school,43000,official duties,mid city
male,single,24,unknown,21000,unemployed,small city
female,non-single,29,high school,38000,official duties,small city
male,single,37,high school,72000,official duties,mid city
male,single,37,high school,58000,management,big city
female,non-single,23,high school,41000,official duties,small city
male,non-single,36,high school,35000,official duties,small city
male,single,34,high school,51000,official duties,mid city
male,single,41,high school,47000,official duties,small city
female,non-single,31,high school,52000,official duties,mid city
female,non-single,23,high school,29000,unemployed,small city
male,single,38,high school,49000,official duties,small city
female,non-single,26,high school,57000,management,small city
female,non-single,22,high school,21000,unemployed,small city
male,single,27,unknown,24000,unemployed,small city
female,non-single,24,high school,38000,official duties,mid city
female,non-single,27,high school,42000,official duties,small city
female,non-single,33,high school,37000,official duties,big city
male,non-single,27,high school,40000,official duties,mid city
male,non-single,27,high school,21000,unemployed,small city
male,single,30,unknown,34000,official duties,mid city
male,single,49,high school,36000,unemployed,small city
female,non-single,26,high school,34000,official duties,mid city
male,single,33,high school,29000,unemployed,small city
female,non-single,52,university,53000,management,mid city
female,non-single,20,high school,34000,official duties,big city
male,single,36,high school,39000,official duties,small city
male,single,21,unknown,20000,unemployed,small city
male,non-single,47,university,27000,unemployed,small city
male,single,60,university,43000,official duties,mid city
female,non-single,58,university,29000,unemployed,small city
female,non-single,42,university,43000,official duties,big city
female,non-single,36,high school,40000,unemployed,small city
female,non-single,20,high school,29000,unemployed,small city
male,single,40,high school,45000,management,big city
female,non-single,32,high school,31000,unemployed,small city
female,non-single,23,high school,33000,official duties,mid city
male,single,36,high school,36000,unemployed,small city
male,single,31,unknown,37000,official duties,small city
male,single,32,unknown,41000,official duties,big city
female,non-single,45,university,45000,official duties,small city
female,non-single,30,high school,36000,official duties,big city
female,non-single,34,high school,30000,unemployed,small city
female,non-single,28,high school,51000,management,big city
female,non-single,23,high school,39000,official duties,mid city
male,single,22,unknown,44000,official duties,mid city
male,single,74,university,64000,management,mid city
female,non-single,50,university,52000,official duties,big city
male,single,33,high school,35000,official duties,big city
male,single,45,high school,36000,official duties,small city
female,non-single,22,high school,35000,official duties,mid city
female,non-single,48,university,40000,unemployed,small city
female,non-single,29,high school,54000,official duties,big city
female,non-single,22,high school,40000,official duties,big city
female,non-single,22,high school,34000,official duties,small city
male,single,48,high school,85000,management,mid city
male,single,27,unknown,69000,management,big city
male,single,37,high school,42000,official duties,small city
female,non-single,21,high school,46000,official duties,small city
male,non-single,49,university,26000,unemployed,small city
male,single,27,unknown,42000,official duties,mid city
male,single,32,unknown,33000,official duties,big city
male,non-single,38,high school,44000,official duties,big city
female,non-single,22,high school,34000,official duties,big city
male,single,65,university,46000,official duties,mid city
male,single,35,high school,36000,official duties,mid city
male,single,41,high school,44000,official duties,big city
male,single,29,unknown,40000,official duties,mid city
male,single,36,high school,52000,official duties,mid city
male,single,64,university,39000,unemployed,small city
female,non-single,28,high school,42000,official duties,big city
male,single,44,high school,37000,official duties,big city
male,single,23,unknown,34000,official duties,mid city
female,non-single,19,high school,34000,official duties,small city
female,non-single,25,high school,26000,unemployed,small city
male,single,47,high school,37000,official duties,small city
female,non-single,28,high school,43000,official duties,big city
male,single,21,unknown,76000,official duties,mid city
female,non-single,34,high school,36000,official duties,mid city
male,single,26,unknown,41000,official duties,small city
female,non-single,27,high school,12000,unemployed,small city
male,single,38,high school,27000,unemployed,small city
male,single,40,high school,60000,management,big city
male,non-single,33,high school,36000,official duties,mid city
male,non-single,32,high school,46000,management,mid city
male,single,27,unknown,53000,official duties,big city
male,non-single,32,high school,44000,official duties,big city
female,non-single,26,high school,43000,official duties,big city
male,single,38,high school,39000,official duties,mid city
male,single,40,high school,23000,unemployed,small city
male,single,50,high school,67000,management,big city
male,single,37,high school,29000,unemployed,small city
male,single,45,high school,39000,official duties,mid city
male,single,42,high school,75000,management,big city
male,single,35,high school,37000,official duties,small city
male,single,22,unknown,39000,official duties,big city
male,single,41,high school,27000,unemployed,small city
male,single,37,high school,63000,official duties,mid city
female,non-single,28,high school,46000,official duties,mid city
male,single,41,high school,54000,official duties,big city
male,non-single,23,high school,37000,official duties,mid city
male,non-single,23,high school,30000,official duties,mid city
male,single,50,high school,40000,official duties,mid city
male,single,35,high school,46000,management,big city
female,non-single,50,university,35000,unemployed,small city
male,single,27,unknown,57000,management,big city
male,single,34,high school,57000,official duties,mid city
female,non-single,27,high school,41000,official duties,mid city
male,single,43,high school,47000,official duties,small city
male,single,47,high school,48000,official duties,small city
male,single,27,unknown,35000,unemployed,small city
male,single,31,unknown,51000,official duties,mid city
male,single,42,high school,74000,management,mid city
male,non-single,24,high school,43000,official duties,big city
male,single,41,high school,38000,unemployed,mid city
female,non-single,26,high school,54000,management,mid city
male,single,33,high school,45000,official duties,big city
male,non-single,24,high school,53000,official duties,small city
male,single,64,university,35000,unemployed,small city
female,non-single,26,high school,34000,official duties,big city
female,non-single,56,university,42000,official duties,mid city
male,single,37,high school,37000,official duties,mid city
male,non-single,33,high school,35000,official duties,big city
male,non-single,47,university,50000,official duties,mid city
male,single,31,unknown,57000,unemployed,small city
male,single,34,high school,50000,official duties,mid city
male,single,27,unknown,37000,official duties,mid city
male,single,30,unknown,45000,official duties,big city
male,single,35,high school,43000,official duties,mid city
male,single,31,unknown,53000,official duties,big city
