"ReviewContent","ReviewDate"
"We stayed at the 1 Hotel Central Park but decided to stop off in Brooklyn for drinks - Such beautiful views of the Brooklyn Bridge and Manhattan. Both hotels are trendy, with an emphasis on plants and the environment. The rooftop bar is a great spot to stop for a drink - Definitely pricey but the views are unmatched. They have a small food menu with a good selection of drinks. The outdoor rooftop bar is closed during the winter - they temporarily move it indoors to the floor below!","12/29/2021"
"Omg I am SHOCKED to see such low reviews on this incredible place. This hotel is my favorite place to stay  EVER (And I've stayed in many nice places around the world). I can't express the joy I feel when I walk into this hotel... it is STUNNING and the staff are such kind, welcoming people! Every time I'm in NYC I try to spend at least 1 night here because it is perfectly situated right on the water, surrounded by a park and with the most AMAZING views of Manhattan. For my birthday last year they upgraded my room to face the Brooklyn Bridge and I just about died... the rooms even have a full floor to ceiling window/door that opens up! If you're thinking about treating yourself to a nice place in Brooklyn, look no further! This is where you want to stay- walkable to everything, beautiful views, good food, easy uber/lyft pick up, etc. I love you 1 Hotel! Thank you for always making me feel at home during my travels :)","10/29/2021"
"We are return customers and stayed 4 nights recently. I give the hotel appearance, rooms, and staff a 5 star, very nice that is why we came back! HOWEVER the internet in our room did not work. We spent 2 days trying to get it going, and had efforts and interruptions to our work and stay as a result. Ultimately, after check out and leaving a note with our concerns, I get a voice mail from a Manager ""Alicia"" and wants to discuss. She leaves the ""general Hotel"" call back, so that was no fun...I tried calling back the next day, she was off. They put me to her VM and I was disconnected. Needless to say, one only has so much time. I guess Alicia was not concerned enough to call me back, or leave a direct contact in the first place. In summary, that part of the Hotel gets a ""zero"" so the average is a 2.5 score, well I rounded down in this case.","10/15/2022"
"Huge plus: accessible rooftop to the public. Incredible view of the entire city skyline as well as an impressive downstairs lobby. The upstairs bar tender was super nice. Wow--this place screams customer service. Definitely took my out-of-towners here to enjoy New York City. They had an incredible time.","9/17/2021"
"Dear 1 Hotel BB, I'm in love with you. I want to live inside you forever. BIG, HUGE shout out to James, DK, Tommy, and I'm forgetting a few more names here for the INCREDIBLE experience y'all gave me. You all deserve a hearty raise! I don't think I'll ever be able stay anywhere else when I come to NYC, even if it is a bit of a trip from Manhattan. The vibes, the experience, the room, everything was a dream. See you very, very soon!","5/25/2022"
"The rooms are beautiful. Amazing decor, great location. However--the service is really lacking. It has a very corporate, impersonal feel, kind of like a Vegas casino hotel. More importantly: I took this trip to NYC with a friend who is non-binary and from a small town where they don't feel comfortable being out. This evening they were sitting on the shared balcony, in a dress (fully covered), reading a book quietly, alone, minding their business and not talking to anyone. Another guest saw them through the window and called security on them without saying anything to us first. Security came and told my friend they had to go inside because they were making people uncomfortable. I understand that the hotel can't predict and ban transphobic guests, but I'm incredibly disappointed that their security team chose to handle it that way. And for that reason, I'd hesitate to stay here again, even though it's very pretty. In short: beautiful building and nice location, but inhospitable on multiple levels.","7/15/2021"
"What a location! The view of the Brooklyn Bridge is incredible and I would highly suggest getting the bridgeview room. It is worth the extra money. Everything about the hotel is top class and I love it here.  The location is also 2nd to none with a bunch of nice restaurants in the area and a lot to see.  Walking the BK bridge and promenade is essential and you will thank me later. I am from the area and I was still impressed! The rooms are very modern and spotless. I really like the filtered water fountain which was very convenient. The bed was also very comfy.  The other surprise was the window opens completely like a door so you can see the view. There is a railing there if you are worried abour safety. This is a pricey hotel but it is worth it.  FYI, the valet is $45 a day.  The service is spot on too with everyone being extremely helpful. I highly recommend.","12/10/2020"
"Beautiful hotel and view, however service is atrocious. Left us waiting hours for our car, our room, and room service. Never greeted us. General manager guy just walking around not doing a thing to see if we need assistance. Lady came and banged on our door at 10AM asking if we were going to leave; checkout as is at 12PM. For the money please go elsewhere. Never booking with 1 hotels ever again. Hali was the girl who checked us in; on her phone the entire time and did not care. Room 908.","2/20/2022"
"This is a beautiful boutique hotel, I'm giving it a 4 star rating because only after I made my reservation did I learn the rooftop bar & pool was closed for guests d/t a private event.  I was on the 9th floor & my room w/ a bridge view was exactly the NY experience I was looking for.  Rain shower head,","6/28/2021"
"This location is God-sent. Wonderful views, huge park, a ferry one minute away, etc. But I believe the staff is not well-trained here. Therefore, they are unable to provide high-class services in accordance with their prices. And the fact that some reviewers mention seeing badbugs in their rooms, just ends any more questions about whether to stay here or not until they completely change their untrainable team and management.","8/29/2022"
"Service was excellent. Everything else not worth the hype. The rooms though aesthetically pleasing lack functionality.","8/23/2022"
"Worn out rooms scratches on the walls, on the mirror on the glass. staff should learn some manners you pay extra for a room with a front view but i didn't got it and no money back also.","11/6/2022"
"Very nice rooftop bar - the views are stunning and the cocktail menu is inventive. I got a reposado espresso martini and appreciated the double upper :) it had me feeling v good lol. A great vibe without feeling pretentious.","12/5/2021"
"The restaurant and spa area and general aesthetic is beautiful. I was in a larger room but not the largest, the room had a cute concept and was on a top floor but it was a little too dated for me. It also takes an engineer to figure out how to use the shower. The hotel is a little too ""hipster"" for me. I personally don't want to reuse my towel after I shower, that's gross. I just want my clean towels,sheets etc every day and I want bottled water not tap.","7/4/2022"
"I came here on Halloween when they waived the minimum drink spend, but it was still $20 to come up to the bar. The views are beautiful - especially at night. You have a great view of the southern tip of Manhattan and the Brooklyn bridge. I didn't really enjoy my time here because you had to pay $100 extra to go behind a rope where people were dancing with the DJ - my $20 ticket just got me access to the bar and part of the views. The music wasn't music you could dance to","11/7/2021"
"Great location if you are looking to explore Brooklyn- located in the DUMBO area it was a nice home base for a few days. The lobby has a beautiful seating area, the concierge was awesome with useful recommendations. The roof top has a lovely view but is VERY young for who is there, I would say a cocktail before you head out if you wanted to grab a sun set up there or a night cap on your way in for the night. Not a place to hang out if you are over 30. The bathrooms are not super private. they are open to the rooms with frosted glass , so they give a semblance of privacy but you can hear every single thing, not to mention if you are there with friends and not a significant other be prepared to not be shy in the shower. you have little privacy, can see your whole outline and more .  Be cool and dont break the rules with thinking you can take a professional camera on top of the roof (this is not allowed, cell phones are fine) and just use your cell phone camera like everyone else. When we checked in there was a client was going nuts screaming at how much he was spending and wanted to use his professional camera on the roof- well tough buddy - there is a reason, not sure what it is but there is one.  Staff was great , rooms were clean and a little larger than i expected for NYC.","10/3/2022"
"My husband and I travel frequently and when we do we like to stay at top rate hotels. We recently had a blast in Williamsburg, so we decided to try the 1 Hotel Brooklyn Bridge. Our choice was an intelligent one. The 1 Hotel is very hip, and very well run. The rooms are beautiful, the lobby is grand, the pool is great, and the rooftop bar is spectacular. We glided in and out without any malfunctions at all. Our concierge helped us avoid any hiccups. Don't hesitate to go, and don't forget your American Express Centurion card. 1 hotel may not be for everyone, but it is certainly for me.","9/6/2021"
"The hotel itself is gorgeous! However the food at the restaurant/bar is HORRIBLE. It is supposed to be an asian-like cuisine. My noodles were dry and when i asked for hot sauce or soy sauce they had neither. The caesar salads do not even taste right. Lastly, the price is astronomical for no apparent reason!","4/5/2022"
"Room AC broken and took 3 calls to get someone up. We returned to find our room door propped open. Both Harriet's rooftop and the ground floor cafe got our orders significantly wrong and took multiple attempts to correct them. It should be noted both places were not busy when this happened. There is still a used tea bag from a previous guest on the floor of our room. I've emailed multiple people on the website and called down for help, but no response has come. If the hotel is reading this, we are in 709 until tomorrow.  Please fix it.","6/10/2021"
"I'll give a 2 for the views and the decor/style.  Service is incredibly bad.  Focus seems to be on instragramable moments rather an actual experience.  The people who work there are nice and just don't seem to know any better.  Whatever values they're trying to portray, they are failing miserably as they appear messy and leave no desire to return.","2/6/2022"
"Amazing hotel room and food!  Can't say enough about this place. Unfortunately have to cut the rating down because of being misinformed at the front desk upon check in and dealing with an uninterested customer service rep after the fact. Make sure you know what you are being charged for before handing your credit card over. They don't explain any charges without specific questions and will take advantage without any proper explanation as they believe their staff is ""properly trained"".","3/23/2022"
"Wedding night ruined. My (now) husband decided to surprise me on our wedding night and book a room at 1 Hotel - a hotel I've always wanted to stay. He called in the morning to confirm the room and ask for a bottle of champagne to be there when we arrived. After checking in, we walked into our room to find that they put us in a room with two double beds instead of the King room we purchased. We went downstairs, still in my wedding dress and him in his suit to talk to the front desk. They said there was nothing they could do and that they overbooked the hotel that night and it was the only room available without downgrading us to a smaller room without a view. We stood there just in awe of the fact that even with calling ahead and confirming they were aware it was for our wedding night, they still had the audacity to give our room away and think it was acceptable to give us a room with two beds. They did offer to refund us half, which was nice. But it still doesn't make up for the fact that one is the most important nights of our lives will always have a damper on it at the end because the people at 1 Hotel didn't have the common courtesy to accommodate somebody's reservation on such an important night.","10/13/2021"
"I had the pleasure of recently booking a private dinner on the 10th floor, catered by the Osprey restaurant. Everything from the food, the killer view, and atmosphere, to the bend over backward service provided by Laura Brown and her team, was awesome. I can't wait to return and book another event!","10/7/2019"
"Beautiful hotel, but more than anything I had very great service. Daryl from security was a highlight. He was very helpful and courteous when I left my laptop there, encouraging me to follow up with him on anything. And to the cleaning staff who found it and returned it. Also, I was greeted in the lobby with glass of wine after a long delayed flight (which I think was prob a wine promotion but nonetheless nice) and had super warm greetings from the front desk. As well, they ran my bags out to meet my Uber when I was in a rush and with my daughter so couldn't leave. All these actions led to a special experience.","6/5/2022"
"I recently stayed at this beautiful hotel for my daughter's 21st birthday and what an amazing experience! I was immediately greeted by Bill who took my luggage to the front desk. What a polite young man! Catherine and Omar checked me in effortlessly and my room was spectacular! A perfect view of the park and Manhattan Skyline with the Brooklyn Bridge to the right. The rooftop restaurant and pool offered delicious food and spectacular views. The absolute best part of my experience was interacting with all of the staff! Everyone and I mean everyone was courteous and simply delightful. Thank you 1 Hotel for an excellent stay!","5/27/2021"
"**Review only based on the rooftop bar/view where we met with some friends and had some cocktails. Rooftop views is so freaking GORGEOUS!!! Definitely be careful if you're an hearty laughter.  I only say this because I am and I totally lost a pair of my Ray-Bans over their balcony... (there may be more to the story but that's not the point of this review! haha)  We did try to go down to the ground to check the bushes but...they are forever lost *whomp whomp*. The groom and bride to be were staying at this hotel and we were invited after hours to have some drinks with them on the hotel's rooftop.  The drinks were pretty pricey (I only know because my husband was telling me to slow my roll with my cocktails. - Can you honestly blame me since it was our first trip away from home and without our baby?)  Like I said before, the view is gorgeous and drinks were a nice touch!  I wouldn't mind staying at this hotel the next time we visit NYC - Brooklyn for fun!","9/14/2019"
"If you appreciate good customer service, this is not the hotel for you. My friends and I nicknamed it beautiful but dysfunctional. Not all the light switches worked. The front desk/concierge didn't answer the phone. You have to request service through the app and there are only 10 options, if you just have a simple question like where is the business center you have to go to the front desk. If you ask for a manager, you get the run around. They placed a hold for the total amount of the suite on my credit card but told me it was just a deposit for incidentals. I have never had that happen before. My friends and I travel frequently, locally and internationally. The lack of customer service, specifically from the from desk, felt personal. Like I didn't meet their qualifications for quality service. Maybe if I had worn Balenciagas instead of Converse? Was it because I'm a woman of color. That was a very unusual and uncomfortable stay. If you prefer luxury and being pampered please stay somewhere else. By the way, I paid $8,000 for my suite but I was treated like I paid $300. After complaining to 4 managers and corporate for 5 days we were given a $200 credit at the cafe. However I prefer good customer service over free food that's why I paid a premium price for a hotel room.","9/6/2021"
"They're racist- tried to go in the other night with a couple brown friends, weren't let in despite white people walking in. Not worth your time.","7/26/2021"
"This review is for the rooftop bar :) I absolutely loved this place! I was able to make a reservation online, with a REASONABLE minimum spend requirement (unlike some places I won't name). Had a great experience from beginning to end. The host downstairs let us skip the line because we had a reservation and go straight upstairs where we were seated immediately and given a choice of tables! Picked one with a great view. We had the frosé and a spritzer drink, both which tasted great (spritzer was strong and the frosé def creeps up on you!). Our fish tacos and truffle fries were delicious. Raemu was our server and she went above and beyond to make sure we were happy, bringing us over an extra table to make room for our food and offering to take photos of us. Now THATS how you treat customers. Will absolutely return :)","6/23/2019"
"Beautiful hotel/decor, excellent location, HORRENDOUS service. From the moment we arrived almost all the staff was either indifferent, incompetent or both. Check in told us our room would be ready ""very soon"" which turned into a three hour wait and breezed right past the actual check in time at 4pm. Went up to the rooftop bar to get a drink while we waited and were greeted by the blank stares of the brain dead host and then the salty bar tender who couldn't figure out how to charge the drinks to the room and gave major attitude about it. Of course they never texted or called us when our room was ready like they said they would. Pool was closed for no apparent reason, some of the restaurants on the property were closed for no apparent reason at random times. Back at the bar on our third night and the salty bartender still couldn't charge anything to the room and still had the same rotten attitude. There were a few exceptions with some decent staff interactions and eventually after various complaints the manager threw us some room service credit but overall this place is not worth the five star prices. Hard to tell if it's due to bad management at the top or what, but something is just off about this place and it is a frustrating bummer to be around their bad vibes.","4/16/2022"
"Beautiful property, but lacking hospitality and for the premium rate this hotel charges, any guest would expect nothing less. We arrived and the front desk staff was not the warmest and honestly felt a little judged walking into the lobby. Room was missing body wash and shower knobs were broken, but just functional enough to get by the one night we stayed here. The room key stopped working in the elevator, I walked to the edge of the front desk where the female made it clear I had to walk to the center of the front desk where SHE was. Again, hospitality. I ordered the açaí bowl in the deli and asked for no honey on it. I watched the barista pour the honey all up in that bowl. I laughed and just decided it just one of those days. Some of the staff were great, but this whole place was a disappointment after dropping 700.00 for one night.","10/14/2021"
"Epic! #1. There is just no other way to describe it. The views were priceless day and night here, both of Manhattan and the Statue of Liberty. This boutique style hotel sits right at Brooklyn Bridge Park and is located in the beloved Dumbo, so a walk around Brooklyn was a breeze. If you have the extra cash you could always take the hotel Tesla into the city. The hotel has options for all you might need, an upscale breakfast place onsite, a full service restaurant, a rooftop bar and a spa. All eco friendly of beautiful woods, metals and concrete. In addition, to keep things fresh, they offer a pop up shop in the hotel lobby. Spiritual Gangster was in the house. If you have the dollars to spend, this is the place to be. We and I have always stayed in the heart of the city due to business and for Broadway. We gave up Hamilton for Brooklyn on this trip, believe it or not the tickets were probably more than the hotel room (and I even have a friend who is a broadway critic). A hard ticket to get, unless you pay full price. Note: Filtered water station and Nespresso machine in your room, a heated bed, and an appropriately friendly staff. As others have mentioned, it will probably be one of the best hotels you can stay in within the US. I would trust their other Hotels are #1 are just as nice, but you cannot argue with the NYC skyline view in one of the greatest cities in the world. #Brooklyn #Dumbo #1HotelBrooklynBridge #ViewsForDays #Epic","11/11/2018"
"Stood here one night for our 16th wedding anniversary, I booked the room over the phone, and customer service was great, the only room available for the liberty room, which didn't really have a view of the city, but did have a view of the Statue of Liberty, and you could see the city if you looked out the sliding door open window. I did see the room cheaper after I stood here on booking.com don't know if it was the exact room, but the prices were significantly lower, maybe next time I shouldn't rush, and do my research. Valet parking is $45 a day, pricey, but what are your options. The men working outside were very nice, helped us in with our bags, and escorted us to the front desk. The front desk staff was very nice, check in was nice & easy. The hotel was beautifully decorated for Christmas, trees all over the place, it also smelled lovely, very woody.... The room was small, but they used the space very well, shower was nice & big, pressure wasn't too great, the soups also smelled like wood, which I didn't like. They do have a water filter that you can fill in a water bottle they leave there, it's all about being green, and not using plastic. Even the water bottles in the fridge were cardboard. They also had a basket to leave unwanted clothes which will be donated, I do love this idea! And wish hotels in the Caribbean did the same. The bed was very comfortable! And everything in the room (lights & heat) are controlled from a iPad on your nightstand. You can also use the iPad to order room service, or request more items in your room (toiletries, towels) Workers were incredibly nice, almost too nice, ever seen the movie ""Get Out"" I felt like I was in it. There was no way that everyone was that well behaved, but I guess with good management it could happen. Check in is 3pm and check out is 12 noon, which is perfect, you don't have to get up too early. Overall it was expensive, but it was our Anniversary, and since we couldn't go ""away"" why not have a stay cation! Would I stay again? Ummmmm maybe for another special occasion, or in the summer when the pool is open.","12/5/2018"
"Great location. Fantastic service. Robert and Diego were first class and alone made the stay terrific. Will book again for my next trip.","6/4/2022"
"The hotel esthetic is beautiful! Rooms are delightful although during Covid aren't being cleaned throughout the stay. Understandable. This is a 3 star hotel at best. Absolutely not 5 star service. The hotel staff is underwhelming, cold, slow and reluctant to help. Overall not professional. To me that is a result of bad training/management. Perhaps hire a company to come In and train all employees on customer service. They also charged our credit card multiple charges over $3,000 for a 3 night stay. When we called the bank, the bank said one of the charges over $1,000 was manually keyed in and not chipped in. I'll let that speak for itself. Watch your charges. The takeaway: The welcoming was cold, (front desk and doorman.) Valet was good, room was beautiful, view was pretty, great location. $16 for a double espresso and nut milk latte in the cafe that included a 20%tip, and again for unfriendly service. The staff needs training badly. Reading past reviews this seems to be a trend. With so many options throughout the city, we won't be coming back or referring anyone in fear of hearing about poor treatment by the staff. The hotel itself is nice, but the staff ruins the overall experience. If you can avoid any human interaction with the door men or front desk, then I'd consider staying here for the atmosphere.","11/24/2020"
"The absolute worst hotel. The staff are so incredibly rude and have no customer service skills. We paid a lot for our room and they refused to let us use the pool. It's a beautiful property but the help really kills the vibe. I would not recommend staying here.","6/21/2021"
"I stayed at 1 Hotel Brooklyn Bridge with my fiancé during our wedding weekend to take advantage of the proximity and views of the Brooklyn Bridge and the city skyline. We splurged for the expensive suite on the top floor for amazing views. Unfortunately that's all this hotel is good for. On the day of our wedding our photographers and videographers came to our room and informed us that the hotel staff said they need a permit to take pictures on hotel property and are not allowed to take any photos or videos. I went down to talk to the hotel staff and they informed me that the sales team was supposed to tell us to get permits. This was never explained to us by the sales team or any hotel staff despite us telling the sales person that we will be here specifically for the photos. The woman at the front desk could not care less and didn't try help us on our wedding day, no free night stay, no comp dinner, not even an apology! Abysmal customer service. The lady at the front desk is just plain bad at her job and needs to be trained at handling these kinds of situations. But it gets worse, after we checked out we tried calling and speaking to the manager to explain our frustration. However, they only cared about who we spoke to on sales and kept forwarding us to different people to speak with and when we finally did get to speak with the manager they said they will call us back, but never did. They never owned up to their incompetence and lack of customer care and service. Every single person we spoke with only made the situation worse.  Just unbelievably bad service, especially for the price you pay to stay here at close to $1500/night. It's clearly a pattern of bad customer service as you can see by the recent 1 star reviews all complaining of the same bad service. DO NOT STAY HERE!","6/8/2021"
