"ReviewContent","ReviewStars","ReviewerInfo"
"Bought this for my 10 year old. It’s super simple to set up and use. Great speed and mileage for getting to school or just riding around.","5.0 out of 5 stars","Reviewed in the United States on January 4, 2023"
"The scooter rating will be split up to 3 categories pro's and con's and middle Pro's 1. Its very comfortable and it has nice suspension 2. It's front light is very bright and there's a brake light that blinks every time you reverse. 3. The scooter isn't as very loud and it doesn't make any sound. 4. Its standing pad is very large Middle's, 1. The speed is average 2. It's price for it is expensive but not to expensive Con's 1. It's battery life isn't as long as another scooter I had which I had that lasted for almost 4 hours 2. Its a lot slower then other scooters 3. It's pretty heavy for an average electric scooter 4. The braking is ABSOLUETELY HORRIBLE, the breaking takes around 5 seconds for the scooter going at full speed to completely stop, and the braking doesn't even work when its not moving so I can't keep it in place, rather than an electric brake I would recommend a regular bike brake where you can control the amount of force and you can brake the scooter so it doesn't roll down a hill Other then that I don't really recommend this scooter since there can and will be better, faster, scooters for less or more, its just the fact that Ninebot is a pretty famous electric scooter brand but yet they use most of there funds on an electric break that barely works.","4.0 out of 5 stars","Reviewed in the United States on September 8, 2022"
"Very high-quality scooter and great bang for the buck compared to much higher-priced options. My son uses it everywhere at his huge University campus. The only downside is that it cannot get up hills on its own. You do need to kick through the hill, but the battery assist helps a lot so it's not that big of a deal. If you want a scooter that can crush hills, you'll need to get a higher-priced, more powerful scooter.","4.0 out of 5 stars","Reviewed in the United States on November 4, 2022"
"easy assembly. delivered unconcealed in the original box (a bad thing). another review was mentioning the scooter shaking and making a weird noise with a video: https://www.amazon.com/gp/customer-reviews/R3SUW79TLYIMLS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08GKP7YXL I had the same problem a couple of times, turning it off and back on usually solved it. it didn't make it unusable but was a little scary and not supposed to happen. process for switching between modes is kind of annoying. overall, I am happy with the purchase and I use this scooter almost every day to commute and just for fun. i bought this when it was priced at $299","4.0 out of 5 stars","Reviewed in the United States on October 12, 2022"
"We got three of these as family Christmas presents in December 2021. Overall we have been happy with them. We've gone on several family rides of varying distances, including some 6+ miles, and batteries have never been a limiting factor. I presume if someone hopes to use these as a daily commuter, depending on how far away they need to commute and whether charging is available at work, this would work great. The headlight is a nice feature, and is bright enough to illuminate the road at dawn or dusk, and improve the rider's visibility to oncoming vehicles, but probably not quite sufficient for night-time riding. We also like the electric breaks, plus the mechanical rear break as a fail-safe. Five months in, we have identified two noteworthy drawbacks, worthy of knocking off 1-2 stars from the rating (hence my 4-star rating): 1. All three scooters' kickstands have broken off. This may be because the kids ride them and aren't the most careful when defending curbs, etc., but the fact is, the kickstand does stick out even when it's up. So if you aren't super careful about bumps, curbs, etc., you can expect to bottom-out against the kickstand, and the kickstand will break off. 2. Speed. These top-out at about 20 kmh. That probably seems fast as you read this while sitting on your couch, but that's just over 12mph and trust me, when riding, it really feels like these should be able to go a little faster. 20-25 mph is probably more ideal for commuting on roads, and it would also be significantly more fun! My six-year-old daughter outpaces one of these scooters on her bicycle.","4.0 out of 5 stars","Reviewed in the United States on May 2, 2022"
"In short, this scooter is really for traveling 1 mile or less. Also good for people who want to try E-scooters without dropping $800 on a fully loaded out scooter. It is not great for city commuting, and the build quality is not that great. It is easy to learn to ride if you have just flat, smooth ground with no potholes. I used it to commute 2 miles and it was too slow (10-12mph tops) and struggles uphill (200LBs rider). After 2 months of use, the plastic latch on the rear fender that holds the scooter folded broke. We contacted the Segway and after many emails the solution was for them to send us a part to replace if we pay the shipping. I looked up how to actually do the repair and it was very involved, so we made up a solution (a strap) to hold the scooter folded. It ended up costing less than the shipping for the replacement part. Range is about 4 miles-8 miles depending on rider weight while riding on sport mode. You can probably stretch it to 10 if you ride on eco mode (8mph, which is barely jogging). The wheels are very unforgiving in terms of going over potholes. Even after months of riding, I almost wiped out twice while riding this scooter going over a pothole.","3.0 out of 5 stars","Reviewed in the United States on November 8, 2022"
"Set up was easy, lights are great but the bell came broken. If you're buying as a gift the box shows the product on it.","4.0 out of 5 stars","Reviewed in the United States on November 11, 2022"
"I have had this scooter for a year and commute with it during spring, summer and fall (excluding dec-feb). After 1 year of daily usage (8 miles total) and being in a trunk during some hot days, it works just as good as the day I got it. The battery life is excellent and reliable, as are the motor and breaks. This scooter is lighter* weight.  I use it for the ""third leg"" of my commute to get from my car to my work, which is a few miles. I especially like that it folds for easy storage. The folding option allows me to store it in my trunk quickly and out of sight for later errands. I am also able to store it out of the way at work and conveniently charge it. It allows me to park farther away for free and save a considerable amount of money on parking while having a commute that takes just as long as trying to navigate a busy parking deck. Not to mention it is quite a blast and I don't show up all sweaty on hot days or worry about walking alone at night. I like that it has two breaking options and different acceleration speeds. It handles hills pretty well but I wouldn't think it would do well on very steep hills  (see incline restrictions). For the larger hills I go on, I will sometimes give it a push to get more momentum. It is smooth and handles well, unlike the scooters you pay for which feel a bit jerky and sudden in their acceleration. Overall, I highly recommend this scooter for someone who wants a faster mode of transportation and an alternative method to a bike or for kids!","5.0 out of 5 stars","Reviewed in the United States on July 17, 2022"
"The description is very accurate, so I need to give 5 stars. That being said, this thing is so boring to ride, 12.4 mph is so slow compared to even a heavy mountain bike. (Also this version is not compatible with the external battery) Fastest mode will get you 12.4 mph and 7 miles range, next fastest mode will give you 8 miles or so at 12.4 mph with slow acceleration, and the mind numbing 16kmph~9mph mode is the one which gives you a range of 12.4 miles, you won’t get that range unless you are riding the lowest setting.  (Which is in the product description) I’d say this is more for a child to commute to the bus stop, and lock up, rather than a legitimate commuter scooter for adults.  Which as far as I can tell, they don’t claim to be. Speed:  leaves something to be desired Battery life: leaves something to be desired Shock absorbing: leaves something to be desired Charging time: 6 hours for dead battery.  I’d say that’s fine.","5.0 out of 5 stars","Reviewed in the United States on September 12, 2022"
"This scooter is great, and a somewhat affordable option if you don't want to go all out or don't have the funds to. I use it to commute as a college student to campus and back. I am also over the 220 weight limit and it is still fast and rides smoothly. My only gripes are that it's pretty heavy and that it doesn't handle inclines well. I haven't had any trouble charging it, the charger is small and looks like a laptop charger so it's not an issue to bring with me in my backpack. Overall, I really recommend this scooter!","4.0 out of 5 stars","Reviewed in the United States on September 5, 2022"
"Bought specifically for short commutes to and from work (4.5 miles each way) and ease of bringing up 3 flights of stairs to my walk up apartment or up/down subway stairs, and for those two requirements of mine this Segway is best. I have lighter scooters, but they can’t take the pounding of the potholes and atrocious road conditions of Brooklyn, NY (or rather, they pass on every jarring impact on to my bones) as well as this one does. I bought a heavier scooter that could, but at 40 lbs it was too heavy and punishing to transport for my 150 lb 5’2” frame. The ES1L is the perfect compromise. On standard mode a full charge will get me about 9 miles, and a bit less if the weather is cold (i guess the battery uses up more energy to keep itself humming). I have to charge it daily to have enough juice for the day. It does have the sport mode that supposedly can speed you up to 24 kmh but I haven’t used it other than to go up steeper hills on my commute, but even then I find the standard mode sufficient for that. I am not a speedster on roads so I find the 20 kmh speed at standard mode quick enough (the 4.5 mile commute is about 35 minutes). The headlights it came with are just bright enough to alert drivers in front of you about your presence - I bought a separate one to illuminate the road in front of me during night time trips. No rearlights either, so get some good ones to attach to your backpack or helmet. So far in the 3 weeks I’ve been using it, the corner of the sandpaper covering of the platform is starting to lift up but that can easily be remedied. Overall a really great simple, light but sturdy scooter! UPDATE 12/16/2020: Not even a month after purchase and the electric brakes have started to fail. The throttle pushes down but doesn’t pop back up, keeping the stroller in brakes unless you push the brake throttle back up. Soon after contacting Customer Service, it stopped taking a charge. So now I have a dead scooter. Still awaiting a box to send the unit in to be sent by the company - it has now been 2 weeks that I’ve been waiting. Segway’s customer service needs a lot of improvement. Will update again to say how the refurbished unit performs. UPDATE 10/27/2021: Battery is now floundering after a year of regular use. Gets discharged quickly, now only lasts 6 miles per full charge on standard speed mode. Replacing battery is going to cost $250 at a repair shop - and as a new unit is currently going for $299, it’s more sensible to just get a new one altogether. Will buy different brand, as the longevity is not the best on Segways.","5.0 out of 5 stars","Reviewed in the United States 🇺🇸 on December 12, 2020"
"My mom recommended I buy this to commute around college. The acceleration is a little weird to get used to. It will only accelerate once you're in motion. It wasn't till I got an electric skateboard without that feature that I realized why. If you suddenly accelerate from a standstill you're gonna jerk backwards. I have terrible balance so I haven't actually used the breaks, I just bail. My sister said the back break is better to use than the front break since you may jerk forward if you're moving too fast. You'll get used to it after practicing. Its heavier than I thought. Unless you're already pretty strong, you probably won't be picking this up with one hand. You're better off rolling it if you have to move it. The other reviews were right about the grip tape. My sister and I used it for 30 minutes and it was already bubbling up. I half want to just peel it off and replace it with skateboard tape cuz that's ridiculous. Outside of that, the rest of it seems sturdy so far. I heard the folding lock might break over time but fingers crossed this lasts till graduation. edit: It only does hills on a full charge with a light rider (I'm 150lbs for ref). Even then you gotta get up to speed for it to keep going. When it had half a charge, it struggled and then died at the top of the hill with my 200lb boyfriend on it. It holds the charge for a while though, if you don't ride it. I didn't touch it for a month during Christmas n then rode it in the cold and it still had 2 bars left. edit 2 (11/7/2022): Its been like a year now. I've dropped it twice from going too fast down hill and now something in the pole part rattles. The accelerator sticks a bit and the breaks are wonky. Sometimes they're on when I'm trying to push it around as opposed to when I'm actually using the break on the handle. Its now faster to push it when its off. Apparently you can fix the break issue by replacing the control board but I haven't tried it yet.","4.0 out of 5 stars","Reviewed in the United States 🇺🇸 on September 11, 2021"
"Scooters work great, my kids love them, we use them almost every day. The battery life is pretty good since my kids are pretty light so the scooters don't struggle much to haul them around. They do very good on steep hills. The only issue that I have is that the charger for one of the scooter stops working so I have to unplug it for a few minutes and then plug it back in for it to work again.","4.0 out of 5 stars","Reviewed in the United States 🇺🇸 on September 7, 2022"
"Using it for fun. Night time neighborhood cruise. Surprised how far I get. Brighttt light. Not fast to me but faster than YOU could run if you tried. Plus no sweat from biking","5.0 out of 5 stars","Reviewed in the United States 🇺🇸 on November 18, 2022"
"Moter break didn't work well for a few times. This is same issue as shown by the video from another reviewer. The unique feature is that it might be the only low price model that has front suspension. I like this feature. I feel a little unsafe when riding at night cus it has no rear led light. You know when cars coming up to you from the back at night, it feels not that good thought you are not in their lane.","4.0 out of 5 stars","Reviewed in the United States 🇺🇸 on August 17, 2022"
"Out of the box this was a great scooter.  Rides decent, a little slow on the fastest setting taking off and on hills but ok.  We bought for our son and daughters 9, 12, and 12 to go around the neighborhood.  Battery life pretty good, not the best for commuting though. So the bad…my son just came home and it malfunctioned.  It stopped, at a dead stop, while doing about 15 mph.  It flipped him over the handle bar and eat it face first.  He is ok but banged up.  It has a red wrench flashing and throws an 11 code the most.  When plugged in to charge, it beeps and throws tons of numbers around and will not charge.  It will not accelerate at all.  I reached out to Segway today and got 2 responses.  Both stating they would not help with repairs as it is out of its 1 year warranty.  They further told me a certified Segway repair center “should” be up sometime in early 2023 and keep a look out for it.  We are over the 1 year warranty by a month or two and the second person to respond back to me told me again, that they will not repair it as it is company policy.  I even asked if there was anyone near me that could help and zero reply about that.  They also told us the codes mean the main brain box has malfunctioned. So if you want to buy this be aware that there is no service repair when something goes wrong.  In addition, there is obviously a problem with this scooter which will probably cost me around the same price, or more, then we payed for it.  14 months of ownership and only not used for 5-6 months through the winters.  I WOULD NOT RECOMMEND THIS PRODUCT!!!  Two of our neighbors have the GoTrax brand.  I would highly recommend buying one of them for a couple dollars more.  They are sturdier, longer battery life, go longer distances, smoother ride, certified service for issues, and faster (top speed) then the Segway.  Segway will never get any of our money again.  We are out a lot of money and now buying from a different company, GoTrax.","1.0 out of 5 stars","Reviewed in the United States 🇺🇸 on January 17, 2023"
"Pros: -Seemingly well made -easy to use -pretty lightweight even my 107lb Girlfriend can pick up and carry short distances -Light on the front is very well done and shines a perfect pattern -when folded you can wheel it around when holding the handlebars -Air-free tires means no flats to worry about Cons: -Don't be misled by the stated12mile range if you're over 150lbs. Range will really depend on your weight and terrain. -front shock absorber doesn't feel like it does much except make a clunking sound from time to time on bumps -Air Free tires make for a bit of a rough ride in some instances -You can't change the speed indicator out of Kph -at around 35% state of charge I was unable to make it up hills that I was able to get up with a higher state of charge. The motor would shut off and I would have to push+power to get up the hill. Final Thoughts:  I'm still happy with the Scooter purchase, I knew this wasn't for long trips, though I do wish the battery system was a tad stronger/larger. Real world use: On 2nd full charge of two scooters. Round trip distance mostly flat 2.74 miles total distance, half that with front light turned on. Rider 1 173LBs, rider 2 107lbs Both riders using middle power setting. After the ride Rider 1 scooter was at 64% state of charge (according to the scooter) After the ride Rider 2 scooter was at 81% state of charge (according to the scooter). As you can see, rider weight has a huge impact on range.","3.0 out of 5 stars","Reviewed in the United States 🇺🇸 on July 5, 2022"
"This scooter just cut our kids commute time from 40 mins to 10 every morning. And that's from just 2 miles of driving before.  It was easy to ride, stable and strong.  The battery charged from 40% to 90% in 2 hours.  And after several days of scooting, it is still over 70%.  It says 12 mph top speed but we've gone on flat roads at almost 15mph. The best thing about this scooter is how light it is.  So I can scoot with my son and take the scooter back with me for now so he doesn't worry about locking it.  The next best thing, it has a really good folding mechanism.  It folds easy yet is beefy to not worry about it folding while commuting. Shipping was fast.  Scooters were well packed.  I would buy this brand again from the same seller!","5.0 out of 5 stars","Reviewed in the United States 🇺🇸 on August 22, 2022"
"This is a preliminary review after only 1 day of riding. I am new to scooters and don’t have the knowledge base to effectively compare it to others. I bought this scooter as a practice model to see how I like it while I consider something more expensive. Ride about 4.5 miles today on an outing w my 8yo daughter who rode her razor power core 100. I’m n the upper end of this scooters weight range ( maybe over 220 counting the heavy backpack I took). I was surprised the scooter made it up to 12.5 mi/ hr and sustained that w/out much difficulty. The controls were very intuitive and easy to learn even for a first timer like me. I rode during the day so I haven’t used the light yet. I felt comfortable while riding, though I wish the deck were just slightly bigger ( size 12 shoes).  After around 4 miles of level ground at its max weight limit the power level was down to 45 percent. I’m not sure yet what that says about it’s max range w me on it, but I’m hoping to get 7 miles. Overall I’m very pleased with the scooter. I wish it had a bell and just a bit more range. I’m not sure about the suspension yet as I felt many of the bumps in the road, but I know I’m heavy for it’s design. Also, I’m still figuring out how/ when to shift my weight for a smoother ride going over bumps. That using the scooters fault but rather my own I experience. I plan to do a follow up review after a few months use.","4.0 out of 5 stars","Reviewed in the United States 🇺🇸 on September 18, 2021"
"I purchased this for my son (about a month or so) so he can commute to and from home/school. He loves it. The distance from home to school is about 1.7 miles and he is able to get there with full battery and by the time he gets off he still has at least 60% left to come back home. I will suggest to NOT use it while is raining. The scooter can die quickly and it can stop working. If you weight more than 200lbs I won’t suggest it either. The heavier you are the faster it will just stop working. I mean if you take good care of it and not just throw it around or use it excessively it can last you for a good while. :) UPDATE as of May 2022: Well the scooter last about 7 months. My son had came from school in the beginning of April with it cracked (front wheel tire was rearranged and it wouldn’t push forward) the scooter promptly alerted that it needed to be fixed. Contact customer services and explained the situation. Even though it took me a month of back and forth emails, they had replaced my son’s scooter with a new one. I received the package at home. They were very helpful and the process was easy to complete. I loved that they provide with shipping label at no cost to you and the FedEx people were really polite. I only paid for the box to ship it into. The shipping to Segway was Free. I am very satisfied with the outcome even if it took a month. If you want to contact Segway I recommend you going directly to their website and EMAIL THEM. Best way to really have a replacement of your scooter or to get it fixed. :)","5.0 out of 5 stars","Reviewed in the United States 🇺🇸 on November 2, 2021"
"I really like this little unit it fits well in my trunk powers up nicely starts up easily my only complaint is any sort of hill at all and you're not going up it unless you help by kicking it along","4.0 out of 5 stars","Reviewed in the United States 🇺🇸 on August 11, 2022"
"OK, so I got this to help with the commute and expenses of a 4th car in the family.  I commute 1 mile to a bus stop ( each way) so it was a no-brainer for me to get a scooter. This one is great on paved roads and with no hills. By no means can this thing get up even the smallest of hills.  It really doesn't do well. It also is NOT friendly to bumps.  I don't care what the reviews say or the listing.  You hit a decent size bump or pothole and it's no good. The hills I go up are not very steep.  I am over the 220 pounds that it claims so I get it.  That could 100% be it. It doesn't get over 19 maybe 20 miles when I go down these hills.  But it's rare.  It typically goes about 14-16.  Nothing crazy.  I am now comparing it to a scooter I rented in LA and that thing is what I want and need.  So I will be returning this.  I will go for something more expensive and better with hills and my size.","3.0 out of 5 stars","Reviewed in the United States 🇺🇸 on July 12, 2022"
"It goes to slow","4.0 out of 5 stars","Reviewed in the United States 🇺🇸 on September 19, 2022"
"Rec’d item with no screws for the handle bars. Battery is worn after 3 months. Doesn’t stay charged long. Internal brake not working proprly. Motor is already worn after 3 months. Customer service unhelpful. Still waiting for parts. 👎🏼","3.0 out of 5 stars","Reviewed in the United States 🇺🇸 on December 3, 2022"
"Kinda slow and you have to press the brake down to go. But for $300 worth it","4.0 out of 5 stars","Reviewed in the United States 🇺🇸 on August 28, 2022"
"Obviamente fue muy práctico pero le falta potencia en las subidas. Directamente no sube cuando es una subida prolongada. El freno trasero es bastante deficiente. Y las ruedas son muy finitas para los caminos no lisos, se sienten todas las vibraciones. Considero que es muy bueno para lo que sale, y por supuesto super practico","3.0 out of 5 stars","Reviewed in the United States 🇺🇸 on November 17, 2022"
"We bought this for our son last Christmas and he still prefers this over his bike. We have taken it to ride from camping trips to city trips and all family members have been able to have fun on it. My son has been riding atvs/motorbikes since a toddler so I was surprised he still reaches for his scooter first nowadays as its so convenient and easy to hop on. Battery life could be better but he has no complaints","5.0 out of 5 stars","Reviewed in the United States 🇺🇸 on September 19, 2022"
"Bought this back in may and its been a great way to get around close to home. Still rumning great in October","4.0 out of 5 stars","Reviewed in the United States 🇺🇸 on August 7, 2022"
"It is a smooth ride! 12mph is a prefect speed! Love it! But there was a weird sound it made when I would brake, but so far it has not been a problem and I have had it for 5 months. I’m 13 and use it to go around my neighborhood and it’s very handy.","5.0 out of 5 stars","Reviewed in the United States 🇺🇸 on October 2, 2022"
"I bought one back in June for my daughter l though shipping took 10 years, the scooter had been great. So with mid August being here now my son wanted a scooter & with this scooter being feet I decided to get another one. My kids love them & just now charging the new one to get her out on the road. My kids are 8 & 7 yrs old. Only issue is it’s a little tall but I did buy an adult scooter for kids. I do wish it went a little faster but that okay! Buy it you won’t be disappointed.","5.0 out of 5 stars","Reviewed in the United States 🇺🇸 on August 12, 2022"
"I was worried about the size and weight of this model for my 7 year old. After a couple of runs up and down the driveway, she handles it well. I didn't want to buy a smaller unit that she'd grow out of in a year. I'd rather she grow into it. Battery life is fantastic! She only weighs about 45lbs. And likes to ride this thing full throttle! I had no idea it was so fast. She can barely see over the handle bars😆. But takes it up to 21 mph! I needed something she could use on bike rides and be able to stay with me. Honestly it looks like I'll be the one struggling to keep up with her! 😂 Absolute joy watching her enjoy riding this thing! Bravo Segway!! Could use a horn, but no other complaints presently.","4.0 out of 5 stars","Reviewed in the United States 🇺🇸 on December 28, 2021"
