brand,reviewID,reviewContent,reviewStars,reviewDate,reviewCountry
"Axe","1675945329-908","So, I never thought I would write a review about deodorant, but this particular one has been the worst I have ever used.  It makes my under ams sticky, and halfway through the day, I start smelling my own pits.  Horrible, Axe makes some good stuff, but this is definitely not one of them.",1,"October 13, 2022","United States"
"Axe","1675945329-909","Protection only lasts for 4 to 5 hours. Goes on easy and smells great, but it doesn't last very long.",2,"May 30, 2022","United States"
"Axe","1675945329-910","Bought on Amazon because I could never find these in the store.  I love this brand and smell.  BTW,  I use Amazon to buy many nice products, but I never thought I'd buy deodorant, razors online, but Amazon does make it a lot easier and you know what you are getting.  I like trying new things, but I have my ""favorites"" and thank you Amazon for supplying  this service and products!!!
Brad",5,"January 21, 2018","United States"
"Axe","1675945329-911","Axe changed this product, for phoenix deodorant. It used to be a lighter blue that worked great, and seemed to last much much longer. Then they did this newer darker blue ""high definition scent"" recently and I noticed it barely lasted half a day before it wore off. I ordered this from amazon because it showed the original formula that I liked in the pictures, but received the crappy newer formula.",2,"August 19, 2021","United States"
"Axe","1675945329-912","Back in the day this smelled awesome, now it's like dirt mixed with spices. Doesnt last the longest either. Got a 4 pack for $12 though so price was good.",2,"April 4, 2022","United States"
"Axe","1675945329-913","Been using the normal Axe deodorant/antiperspirant for a while now. I ordered this aluminum free version by mistake, but thought I’d give it try since that is probably better for my body and it still smelled like the normal version. But, even though the product claims 48 hours of protection, it came nowhere near that. I applied immediately after a shower and was inside in a tee-shirt all day. I started smelling a bit of BO after just a couple hours. It didn’t even protect during the daylight hours… Just ordered Dr Squatch for the first time because I was feeling like trying a different aluminum free deodorant. That stuff is top notch. No BO even after being outside mowing the grass in 90 degree weather today. Still smell like I did when I first applied it. Dr Squatch > Axe by a long shot, I’m 100% converted.",1,"June 6, 2021","United States"
"Axe","1675945329-914","This product is inferior than the original. It does not last 48 hours, let alone 8 hours. The scent doesn't last long and does nothing to curb bo. I come home after-work smelling like I haven't showered at all.. will not buy again and do not recommend. Stick to the original white, not this useless blue garbage.",1,"September 11, 2022","United States"
"Axe","1675945329-915","Not much to say but it works",5,"October 31, 2021","United States"
"Axe","1675945329-916","I have been using the same deodorant for a decade and previously loved it. With this new formula I smell terrible! After showering and applying the deodorant, my b.o. comes through almost right away and gets stinky very quickly. I don't know what they did to change it but unfortunately I will search for a new deodorant because this is new formula simply does not work.",1,"August 23, 2022","United States"
"Axe","1675945329-917","I’ve been using Axe for a while now and it was working good, but the new formula does not work even for a short time after being applied",1,"October 28, 2022","United States"
"Axe","1675945329-918","I was pleased to find a 4 pack on Amazon.",5,"August 20, 2021","United States"
"Axe","1675945329-919","I’d like to return the other 3. Works for a few hours and then your funky . But like funkier than you normally are like it brought out more body odor than you can imagine. This is for kids not grown men",1,"September 19, 2022","United States"
"Axe","1675945329-920","This is not the product I bought, this doesn't work",5,"July 11, 2021","United States"
"Axe","1675945329-921","The value was great, but the products were super dusty. I had to clean each one, individually with a wet paper towel and dry.",4,"October 28, 2019","United States"
"Axe","1675945329-922","The product doesn't rub on easily.  In a month, the was almost none gone. That may be the reason for the main problem: it didn't work as a deodorant.  Threw three unopened units and one nearly new. Again  using some with aluminum.",1,"September 7, 2022","United States"
"Axe","1675945329-923","The scent doesn't last long at all by the time I get to work I stink like a ran a mile. Every time I use it I get a rash don't waste your money",1,"October 5, 2022","United States"
"Axe","1675945329-924","I have used Axe Deodorant for many years, and never had a complaint. Then with this order, they changed the formula.  I actually think it exaggerates perspiration odor.  Take a shower and 30 minutes later it is completely ineffective.  Time to search for another brand.",1,"August 22, 2022","United States"
"Axe","1675945329-925","so yea, they changed the sent of this deodorant , the new smell is atrocious.!",1,"November 16, 2022","United States"
"Axe","1675945329-926","These deodorants have the blue type stick, which I'm unfortunately sensitive to. I still tried them, but broke out a day later. The scent was on-par with Axe products, which was heavy, but pleasing. Since these are deodorants and not anti-perspirants, you will still sweat and I noticed I quickly smelled of BO. In the end, I  returned them (fyi - they do require them back, which surprised me for a toiletry item.. so I marked what was opened).",1,"June 12, 2022","United States"
"Axe","1675945329-927","It’s a shame, I’ve been using Axe deodorant since it’s inception. I don’t like anti-perspirants, so Axe deodorant was perfect. They apparently changed the formula. The new gel, 48 hour compound just doesn’t work for me. I’m not the type of person who has terrible body odor, but this does hardly anything for it. This deodorant lasts a couple hours at best. It may be my particular body chemistry, but I have to look elsewhere for my deodorant now.  I hate to give a bad review, I just want to give people a heads up that this may not work for them. Maybe Axe can produce both old and new formulas.",1,"December 27, 2021","United States"
"Axe","1675945329-928","I wore Axe Phoenix in the past and it was nice smell.  Not sure if I got a bad batch or what. But it smells crazy strong like bleach.",1,"October 6, 2022","United States"
"Axe","1675945329-929","I love the product it last long .",5,"June 11, 2021","United States"
"Axe","1675945329-930","This is a crap product ... It says 48h on it.  WHY ?  Because it does t even last 4 hours much less 48.  If you sweat at all you will stink like 48 Horses behinds.  I am straight up throwing this in the trash.  My fault I meant to buy anti perspirant.  But still this product should work somewhat close to its advertisement.  JUNK JUNK JUNK",1,"June 4, 2022","United States"
"Axe","1675945329-931","I love the Phoenix scent from Axe, and have enjoyed it for 8 years now. I get compliments on it regularly.

My only complaint is that they don't last long. I use them daily, and one roller lasts more three weeks. That's okay but not great.",5,"April 28, 2019","United States"
"Axe","1675945329-932","This stuff is awful. I've used Axe Phoenix deodorant for years. Apparently the 48H is new and improved. It doesn't go on as heavy as the regular Phoenix but it wears off mid-day, every time. I've never had a deodorant wear off mid-day. If you buy this, you'll be stinky on your way home. Wish I never bought it.",1,"July 7, 2022","United States"
"Axe","1675945329-933","Old formulation lasted until your next shower.  New formulation you have BO by lunch.  Awful product now.  Must have used cheaper ingredients",1,"October 10, 2022","United States"
"Axe","1675945329-934","This is the only deodorant my husband uses and it smells great! The scent last for the entire day too!",5,"September 18, 2020","United States"
"Axe","1675945329-935","If you work hard outside or if you sweat a lot this deodorant is only good for 1 hours !! So disappointed not a good quality!!",1,"October 5, 2022","United States"
"Axe","1675945329-936","My husband has been using AXE deodorant forever and it didn't specify that it was the gel when I ordered it....thinking no big deal, it's all the same, right?  He had the worst rash.  I know others that have had the same problem and couldn't use it but I know a lot of others that love it....so there ya go!",3,"August 25, 2018","United States"
"Axe","1675945329-937","Does not hold smelly odor well I use it for daily use",2,"April 14, 2022","United States"
"Axe","1675945329-938","Works as designed",3,"June 15, 2021","United States"
"Axe","1675945329-939","Good value for the money, and delivered right to your door.",5,"January 19, 2021","United States"
"Axe","1675945329-940","like the phoenix stick. will reorder if price is right.",5,"January 16, 2021","United States"
"Axe","1675945329-941","Smell bad",1,"November 16, 2022","United States"
"Axe","1675945329-942","Thought my wife was crazy buying me 4 but I can never find this secret t! Now I have one for the car and each bathroom. Cheaper than buying one by one at the store so I’m happy.",5,"June 4, 2019","United States"
"Axe","1675945329-943","Its gel. Gel deodorant is the absolute worst it doesn’t even last an hour. Waste of money. I have a broken leg and cant leave the house which is why I ordered off here. YOU NEED TO INCLUDE ITS GEL IN THE DESCRIPTION!!!!! Not everyone can use gel!!! Super upset.",1,"June 9, 2022","United States"
"Axe","1675945329-944","Good value for the price",5,"April 16, 2021","United States"
"Axe","1675945329-945","On time, everything great",5,"May 11, 2021","United States"
"Axe","1675945329-946","Don’t buy, goes on wet, scent is week does not work or last. Would never buy again",1,"October 5, 2022","United States"
"Axe","1675945329-947","These are clearly not what they used to be. I’ll be switching to a different brand now.  They used to work well.  Now about 4 hours into the day it’s like you didn’t put deodorant on. Yuck.",1,"July 10, 2022","United States"
"Axe","1675945329-948","This is not antiperspirant only deodorant.  Passed on to my son though he loves it",3,"August 11, 2020","United States"
"Axe","1675945329-949","Don’t protect at all …not recommend",1,"October 30, 2022","United States"
"Axe","1675945329-950","they changed the product from a white powder type stick to a blue one that is nowhere near as good, the new version is useless and will not give you the protection the original one did, time to look for a new deodorant",2,"July 3, 2021","United States"
"Axe","1675945329-951","My husband normally buys these from Wal-Mart,  no complaints other than the price increase. These specific ones from this seller here on Amazon, burning rash. Not to mention the odor, you wouldn't think he put any on. If it weren't for the rash.",1,"June 6, 2022","United States"
"Axe","1675945329-952","I have used successfully used other of your products and like what this one had to offer…, ingredients, scent, etc.  The only problem is that I smell like BO within hours of application … this is not from anything causing perspiration or anything strenuous.  In fact put on after a night shower and by waking up time…re-apply!! I’m sorry but this is crap, at least for me!!",1,"April 24, 2022","United States"
"Axe","1675945329-953","I’ve been using this brand for years and loved it. This “new clear formula” is less effective at reducing odor, and it irritated my skin. Time to find a new brand. Unfortunately my return window closed before I opened the first one.",1,"June 3, 2022","United States"
"Axe","1675945329-954","This product claims to be good for 48 hours I don’t think it was good for four minutes unless they have a scent called BO I had to put my shirt on so I could smell downy fresh because the deodorant did nothing.",1,"May 24, 2022","United States"
"Axe","1675945329-955","This product meets my expectations and does great covering my odor.",5,"October 17, 2020","United States"
"Axe","1675945329-956","The prior formula claimed 24 hour protection. I never got to a full 24 hours but it was good enough. This new “48 hour” protection formula barely lasts 3 hours with a heavy application out of the shower. At the 4-6 hour mark, I’m reapplying. Curious as to how they tested their 48 hour claim… Like others, I’ll be looking for a new deodorant to replace this brand that I’ve been using for 15 years.",1,"March 19, 2022","United States"
"Axe","1675945329-957","This has been my go to deodorant for years now, but as it is fading in the several hours after application it starts really stinking. I bought the multipack so have been pushing through it for about 9 months with reapplications, but no more! Recently switched to a less pleasing Old Spice deodorant which lasts, and won't be using Axe Phoenix for the first time in 15 years? Wacky.",1,"April 5, 2022","United States"
"Axe","1675945329-958","My guys (husband and sons) said they DO NOT like the gel, they prefer the dry.  They said that the gel does not last long at all and they find themselves re-applying the deodorant often.",2,"August 13, 2021","United States"
"Axe","1675945329-959","The scent on this deodorant DOES NOT LAST 48 hours. Heck, it doesn't last 4.8 hours. Will not buy again",1,"August 24, 2022","United States"
"Axe","1675945329-960","Not sure if I just got a bad batch but these are terrible, took my nightly shower and applied the Ace deodorant, by midday the next day(approximately 15 hours after applying) my armpit smelled like raw onions, no exercise, no trip to gym.  I was so exited to try this brand, but but excitement soon turned into dismay. Sorry but never again.",1,"April 4, 2022","United States"
"Axe","1675945329-961","This is a gel deodorant only, it is not an antiperspirant. As soon as it hits your body it 'melts'. When you put your clothes on, it soaks right in, sometimes resulting in visible wet marks. The good news is that it usually, not always, but usually washes out so no noticeable stains are left.",2,"November 20, 2020","United States"
"Axe","1675945329-962","I notice my self smelling immediately now without even much activity. This new formula is awful and doesn't work at all. Don't buy anymore",1,"August 5, 2022","United States"
"Axe","1675945329-963","This version of Axe deodorant does not provide any sort of odor prevention. I have a very labor intensive job and have always used Axe deodorant because it always worked for me. This so-called ""deodorant"" barely lasts long enough for me to get to work before I notice that it is worn off.

I am very disappointed and will begin to shop around for a new brand. It is a shame that Axe would put an inferior product in place of one that I have been using for close to a decade.",1,"July 5, 2021","United States"
"Axe","1675945329-964","No antiperspirant so it washes off easier. That’s why I buy it and it smells better than most of axe stuff .",5,"December 31, 2019","United States"
"Axe","1675945329-965","Thank you for helping me be no longer  stinky!

I’ve always liked this Phoenix scent. Try it!",5,"March 14, 2020","United States"
"Axe","1675945329-966","Good value",4,"November 13, 2019","United States"
"Axe","1675945329-967","I don't know what Axe did but they changed this product somehow. It doesn't go on as easy as before and now doesn't last very long. Am very disappointed",2,"July 5, 2021","United States"
"Axe","1675945329-968","Good stuff.",5,"December 30, 2020","United States"
"Axe","1675945329-969","Packed good no damage saved me from having to go to the store",5,"May 19, 2020","United States"
"Axe","1675945329-970","Bad odor protection I Thought it was antiperspirant deodorant but it's not. Don't buy!",1,"August 12, 2022","United States"
"Axe","1675945329-971","Arrived fast and smells great. Same price as in store.",5,"July 21, 2020","United States"
"Axe","1675945329-972","The scent disappears after 2 hours max. If you have sensitive skin, this product is also not for you.",1,"July 18, 2022","United States"
"Axe","1675945329-973","So much easier to order this on amazon and have it come to your door than making a run to the store. Fairly priced, plus added convenience.",5,"January 29, 2019","United States"
"Axe","1675945329-974","I smell beautiful all day long",4,"January 9, 2019","United States"
"Axe","1675945329-975","Horrible only works for about three hours, I switch to degree and works like a charm highly recommend degree",1,"July 15, 2022","United States"
"Axe","1675945329-976","New formula says 48 hours? More like less than 4 hours. Will not be purchasing again and would not recommend!",1,"July 8, 2022","United States"
"Axe","1675945329-977","Doesn’t work more than a couple of hours. You start to sweat again if you’re active.",1,"July 19, 2022","United States"
"Axe","1675945329-978","Not even a real deodorant",1,"September 18, 2022","United States"
